Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	2	2
OG0000001	1	1
OG0000002	1	1
OG0000003	1	1
OG0000004	1	1
OG0000005	0	0
OG0000006	0	0
OG0000007	0	0
OG0000008	0	0
OG0000009	1	1
OG0000010	0	0
OG0000011	0	0
OG0000012	0	0
OG0000013	0	0
OG0000014	0	0
OG0000015	0	0
OG0000016	0	0
OG0000017	0	0
OG0000018	0	0
OG0000019	0	0
OG0000020	0	0
OG0000021	0	0
OG0000022	0	0
OG0000023	2	0
OG0000024	0	0
OG0000025	0	0
OG0000026	0	0
OG0000027	0	0
OG0000028	0	0
OG0000029	1	1
OG0000030	0	0
OG0000031	0	0
OG0000032	0	0
OG0000033	0	0
OG0000034	0	0
OG0000035	0	0
OG0000036	0	0
OG0000037	0	0
OG0000038	0	0
OG0000039	0	0
OG0000040	0	0
OG0000041	0	0
OG0000042	0	0
OG0000043	0	0
OG0000044	0	0
OG0000045	0	0
OG0000046	0	0
OG0000047	0	0
OG0000048	0	0
OG0000049	0	0
OG0000050	0	0
OG0000051	0	0
OG0000052	0	0
OG0000053	0	0
OG0000054	0	0
OG0000055	0	0
OG0000056	0	0
OG0000057	0	0
OG0000058	0	0
OG0000059	0	0
OG0000060	0	0
OG0000061	0	0
OG0000062	0	0
OG0000063	0	0
OG0000064	0	0
OG0000065	0	0
OG0000066	0	0
OG0000067	0	0
OG0000068	0	0
OG0000069	0	0
OG0000070	0	0
OG0000071	0	0
OG0000072	0	0
OG0000073	0	0
OG0000074	0	0
OG0000075	0	0
OG0000076	0	0
OG0000077	0	0
OG0000078	0	0
OG0000079	0	0
OG0000080	0	0
OG0000081	0	0
OG0000082	0	0
OG0000083	1	1
OG0000084	0	0
OG0000085	0	0
OG0000086	0	0
OG0000087	0	0
OG0000088	0	0
OG0000089	0	0
OG0000090	0	0
OG0000091	0	0
OG0000092	0	0
OG0000093	0	0
OG0000094	0	0
OG0000095	0	0
OG0000096	0	0
OG0000097	0	0
OG0000098	0	0
OG0000099	0	0
OG0000100	0	0
OG0000101	0	0
OG0000102	0	0
OG0000103	0	0
OG0000104	0	0
OG0000105	0	0
OG0000106	0	0
OG0000107	0	0
OG0000108	0	0
OG0000109	0	0
OG0000110	0	0
OG0000111	0	0
OG0000112	0	0
OG0000113	0	0
OG0000114	0	0
OG0000115	0	0
OG0000116	0	0
OG0000117	0	0
OG0000118	0	0
OG0000119	1	1
OG0000120	0	0
OG0000121	1	1
OG0000122	0	0
OG0000123	0	0
OG0000124	16	16
OG0000125	6	6
OG0000126	0	0
OG0000127	16	16
OG0000128	7	7
OG0000129	10	10
OG0000130	10	10
OG0000131	6	6
OG0000132	0	0
OG0000133	1	1
OG0000134	9	9
OG0000135	0	0
OG0000136	1	1
OG0000137	0	0
OG0000138	2	2
OG0000139	8	8
OG0000140	2	2
OG0000141	2	2
OG0000142	0	0
OG0000143	0	0
OG0000144	7	7
OG0000145	3	3
OG0000146	1	1
OG0000147	0	0
OG0000148	0	0
OG0000149	0	0
OG0000150	6	6
OG0000151	0	0
OG0000152	6	6
OG0000153	1	1
OG0000154	1	1
OG0000155	4	4
OG0000156	6	6
OG0000157	1	1
OG0000158	1	1
OG0000159	0	0
OG0000160	3	3
OG0000161	0	0
OG0000162	1	1
OG0000163	0	0
OG0000164	0	0
OG0000165	0	0
OG0000166	0	0
OG0000167	0	0
OG0000168	0	0
OG0000169	1	1
OG0000170	0	0
OG0000171	1	1
OG0000172	1	1
OG0000173	0	0
OG0000174	1	1
OG0000175	0	0
OG0000176	5	5
OG0000177	2	2
OG0000178	2	2
OG0000179	0	0
OG0000180	0	0
OG0000181	0	0
OG0000182	0	0
OG0000183	0	0
OG0000184	1	1
OG0000185	1	1
OG0000186	0	0
OG0000187	0	0
OG0000188	0	0
OG0000189	0	0
OG0000190	0	0
OG0000191	0	0
OG0000192	0	0
OG0000193	0	0
OG0000194	2	2
OG0000195	0	0
OG0000196	0	0
OG0000197	0	0
OG0000198	0	0
OG0000199	0	0
OG0000200	4	4
OG0000201	2	2
OG0000202	0	0
OG0000203	0	0
OG0000204	1	1
OG0000205	0	0
OG0000206	0	0
OG0000207	2	2
OG0000208	0	0
OG0000209	2	2
OG0000210	0	0
OG0000211	0	0
OG0000212	0	0
OG0000213	0	0
OG0000214	0	0
OG0000215	0	0
OG0000216	0	0
OG0000217	0	0
OG0000218	0	0
OG0000219	0	0
OG0000220	0	0
OG0000221	0	0
OG0000222	0	0
OG0000223	0	0
OG0000224	0	0
OG0000225	0	0
OG0000226	0	0
OG0000227	0	0
OG0000228	0	0
OG0000229	0	0
OG0000230	1	1
OG0000231	1	1
OG0000232	1	1
OG0000233	1	1
OG0000234	0	0
OG0000235	3	3
OG0000236	3	3
