Orthogroup	NC_005946	OL774653
OG0000000	NC_005946.1_00010 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	NC_005946.1_00053 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000010	NC_005946.1_00022 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000011	NC_005946.1_00011 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000012	NC_005946.1_00094 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000013	NC_005946.1_00002 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000014	NC_005946.1_00023 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000015	NC_005946.1_00016 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000016	NC_005946.1_00021 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000017	NC_005946.1_00067 hypothetical protein	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000018	NC_005946.1_00087 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000019	NC_005946.1_00042 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000024	NC_005946.1_00089 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000026	NC_005946.1_00049 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000027	NC_005946.1_00086 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000028	NC_005946.1_00085 hypothetical protein	MK689686.1_00046 hypothetical protein
OG0000120	NC_005946.1_00006 hypothetical protein	GQ273492.1_00077 hypothetical protein
