Orthogroup	HF920633	HF920637
OG0000000	HF920633.1_00044 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	HF920633.1_00069 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	HF920633.1_00127 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	HF920633.1_00043 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	HF920633.1_00122 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation
OG0000005	HF920633.1_00097 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	HF920633.1_00073 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	HF920633.1_00001 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	HF920633.1_00080 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	HF920633.1_00067 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	HF920633.1_00118 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	HF920633.1_00163 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	HF920633.1_00091 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	HF920633.1_00003 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	HF920633.1_00138 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	HF920633.1_00058 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	HF920633.1_00158 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000019	HF920633.1_00025 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	HF920633.1_00094 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	HF920633.1_00085 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	HF920633.1_00079 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000024	HF920633.1_00017 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000025	HF920633.1_00047 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
OG0000124	HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein	HF920637.1_00096 HF920637.1 - hypothetical protein translation
OG0000125	HF920633.1_00086 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000127	HF920633.1_00116 hypothetical protein	HF920637.1_00183 HF920637.1 - hypothetical protein translation
OG0000128	HF920633.1_00147 hypothetical protein	HF920637.1_00198 HF920637.1 - hypothetical protein translation
OG0000128	HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein	HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation
OG0000131	HF920633.1_00004 hypothetical protein	HF920637.1_00058 HF920637.1 - hypothetical protein translation, HF920637.1_00199 HF920637.1 - hypothetical protein translation, HF920637.1_00201 HF920637.1 - hypothetical protein translation, HF920637.1_00093 HF920637.1 - hypothetical protein translation, HF920637.1_00094 HF920637.1 - hypothetical protein translation, HF920637.1_00057 HF920637.1 - hypothetical protein translation, HF920637.1_00216 HF920637.1 - hypothetical protein translation
OG0000132	HF920633.1_00135 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000135	HF920633.1_00132 hypothetical protein	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000136	HF920633.1_00053 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000137	HF920633.1_00156 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
OG0000142	HF920633.1_00026 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000143	HF920633.1_00064 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000145	HF920633.1_00129 hypothetical protein	HF920637.1_00151 HF920637.1 - hypothetical protein translation
OG0000146	HF920633.1_00088 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation
OG0000147	HF920633.1_00036 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000148	HF920633.1_00106 hypothetical protein	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000155	HF920633.1_00104 hypothetical protein	HF920637.1_00169 HF920637.1 - hypothetical protein translation
OG0000155	HF920633.1_00092 hypothetical protein, HF920633.1_00153 hypothetical protein, HF920633.1_00014 hypothetical protein, HF920633.1_00027 hypothetical protein	HF920637.1_00084 HF920637.1 - hypothetical protein translation
OG0000160	HF920633.1_00030 hypothetical protein	HF920637.1_00116 HF920637.1 - hypothetical protein translation
OG0000161	HF920633.1_00134 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation
OG0000162	HF920633.1_00039 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation
OG0000163	HF920633.1_00105 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation
OG0000164	HF920633.1_00082 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation
OG0000165	HF920633.1_00169 DNA ligase	HF920637.1_00120 HF920637.1 - DNA ligase translation
OG0000166	HF920633.1_00177 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation
OG0000169	HF920633.1_00145 hypothetical protein	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation
OG0000170	HF920633.1_00046 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation
OG0000171	HF920633.1_00161 hypothetical protein, HF920633.1_00031 hypothetical protein	HF920637.1_00069 HF920637.1 - hypothetical protein translation
OG0000172	HF920633.1_00096 hypothetical protein	HF920637.1_00071 HF920637.1 - hypothetical protein translation
OG0000179	HF920633.1_00128 hypothetical protein	HF920637.1_00020 HF920637.1 - hypothetical protein translation
OG0000180	HF920633.1_00110 hypothetical protein	HF920637.1_00139 HF920637.1 - hypothetical protein translation
OG0000181	HF920633.1_00149 DNA topoisomerase 2	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation
OG0000182	HF920633.1_00165 hypothetical protein	HF920637.1_00212 HF920637.1 - hypothetical protein translation
OG0000183	HF920633.1_00103 hypothetical protein	HF920637.1_00047 HF920637.1 - hypothetical protein translation
OG0000184	HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein	HF920637.1_00048 HF920637.1 - hypothetical protein translation
OG0000186	HF920633.1_00022 hypothetical protein	HF920637.1_00085 HF920637.1 - hypothetical protein translation
