Orthogroup	KX643370	AY521625
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	Lymph_LDV3_KX643370_00120 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000002	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	Lymph_LDV3_KX643370_00094 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000006	Lymph_LDV3_KX643370_00117 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000007	Lymph_LDV3_KX643370_00044 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000008	Lymph_LDV3_KX643370_00056 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000009	Lymph_LDV3_KX643370_00091 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000010	Lymph_LDV3_KX643370_00040 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000011	Lymph_LDV3_KX643370_00095 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000012	Lymph_LDV3_KX643370_00051 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000015	Lymph_LDV3_KX643370_00057 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000016	Lymph_LDV3_KX643370_00077 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000017	Lymph_LDV3_KX643370_00049 hypothetical protein	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	Lymph_LDV3_KX643370_00126 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000019	Lymph_LDV3_KX643370_00135 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000020	Lymph_LDV3_KX643370_00055 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000021	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000022	Lymph_LDV3_KX643370_00089 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000023	Lymph_LDV3_KX643370_00004 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
