Orthogroup	MT798582.1	MF599468.1
OG0000000	MT798582.1_00076	MF599468.1_00057, MF599468.1_00056
OG0000001	MT798582.1_00018	MF599468.1_00163
OG0000002	MT798582.1_00019	MF599468.1_00152
OG0000003	MT798582.1_00012	MF599468.1_00011
OG0000004	MT798582.1_00037	MF599468.1_00092
OG0000005	MT798582.1_00111	MF599468.1_00154
OG0000006	MT798582.1_00088	MF599468.1_00010
OG0000007	MT798582.1_00116	MF599468.1_00174
OG0000008	MT798582.1_00077	MF599468.1_00030
OG0000009	MT798582.1_00036	MF599468.1_00075
OG0000011	MT798582.1_00100	MF599468.1_00149
OG0000012	MT798582.1_00004	MF599468.1_00112
OG0000013	MT798582.1_00049	MF599468.1_00033
OG0000014	MT798582.1_00028	MF599468.1_00122
OG0000015	MT798582.1_00027	MF599468.1_00009
OG0000016	MT798582.1_00119	MF599468.1_00046
OG0000017	MT798582.1_00073	MF599468.1_00035
OG0000018	MT798582.1_00042	MF599468.1_00117
OG0000019	MT798582.1_00120	MF599468.1_00106
OG0000020	MT798582.1_00075	MF599468.1_00090
OG0000021	MT798582.1_00021	MF599468.1_00116
OG0000022	MT798582.1_00071	MF599468.1_00071
OG0000023	MT798582.1_00062	MF599468.1_00171
OG0000026	MT798582.1_00039	MF599468.1_00039
OG0000047	MT798582.1_00048	MF599468.1_00013
OG0000069	MT798582.1_00108	MF599468.1_00131
