Orthogroup	HF920637.1	MF599468.1
OG0000000	HF920637.1_00129, HF920637.1_00164	MF599468.1_00057, MF599468.1_00056
OG0000001	HF920637.1_00143	MF599468.1_00152
OG0000003	HF920637.1_00059	MF599468.1_00163
OG0000004	HF920637.1_00159	MF599468.1_00011
OG0000005	HF920637.1_00176, HF920637.1_00175	MF599468.1_00030
OG0000006	HF920637.1_00121	MF599468.1_00010
OG0000007	HF920637.1_00172	MF599468.1_00174
OG0000008	HF920637.1_00025	MF599468.1_00092
OG0000009	HF920637.1_00153	MF599468.1_00075
OG0000010	HF920637.1_00041	MF599468.1_00116
OG0000011	HF920637.1_00001	MF599468.1_00112
OG0000012	HF920637.1_00031	MF599468.1_00090
OG0000013	HF920637.1_00073	MF599468.1_00035
OG0000014	HF920637.1_00213	MF599468.1_00071
OG0000015	HF920637.1_00017	MF599468.1_00033
OG0000016	HF920637.1_00217	MF599468.1_00149
OG0000017	HF920637.1_00197	MF599468.1_00106
OG0000018	HF920637.1_00079	MF599468.1_00046
OG0000019	HF920637.1_00111	MF599468.1_00117
OG0000020	HF920637.1_00108	MF599468.1_00122
OG0000021	HF920637.1_00152	MF599468.1_00009
OG0000022	HF920637.1_00033	MF599468.1_00171
OG0000023	HF920637.1_00221	MF599468.1_00154
OG0000024	HF920637.1_00203	MF599468.1_00039
OG0000120	HF920637.1_00138	MF599468.1_00096
OG0000121	HF920637.1_00034, HF920637.1_00184, HF920637.1_00206, HF920637.1_00096, HF920637.1_00102, HF920637.1_00130, HF920637.1_00208, HF920637.1_00158	MF599468.1_00100, MF599468.1_00114
OG0000122	HF920637.1_00183	MF599468.1_00024, MF599468.1_00029, MF599468.1_00099, MF599468.1_00102, MF599468.1_00104, MF599468.1_00101, MF599468.1_00038, MF599468.1_00070, MF599468.1_00145, MF599468.1_00054, MF599468.1_00091, MF599468.1_00128, MF599468.1_00103, MF599468.1_00055, MF599468.1_00023
OG0000137	HF920637.1_00219	MF599468.1_00002
OG0000138	HF920637.1_00014	MF599468.1_00027
OG0000153	HF920637.1_00072	MF599468.1_00156, MF599468.1_00066
OG0000154	HF920637.1_00060	MF599468.1_00161
OG0000155	HF920637.1_00181	MF599468.1_00051
OG0000161	HF920637.1_00150	MF599468.1_00142
OG0000167	HF920637.1_00168	MF599468.1_00074
OG0000177	HF920637.1_00067	MF599468.1_00155
OG0000178	HF920637.1_00049	MF599468.1_00162
OG0000181	HF920637.1_00095	MF599468.1_00004
OG0000182	HF920637.1_00056	MF599468.1_00141
OG0000184	HF920637.1_00077, HF920637.1_00148	MF599468.1_00045
OG0000185	HF920637.1_00120	MF599468.1_00067
OG0000186	HF920637.1_00045	MF599468.1_00105
OG0000201	HF920637.1_00085	MF599468.1_00043
OG0000208	HF920637.1_00160	MF599468.1_00172
OG0000209	HF920637.1_00047	MF599468.1_00025
OG0000210	HF920637.1_00139	MF599468.1_00022
OG0000211	HF920637.1_00193	MF599468.1_00015
OG0000213	HF920637.1_00192	MF599468.1_00044
OG0000214	HF920637.1_00005	MF599468.1_00125
OG0000215	HF920637.1_00020	MF599468.1_00129
OG0000218	HF920637.1_00100	MF599468.1_00079
OG0000219	HF920637.1_00212	MF599468.1_00037
OG0000220	HF920637.1_00136, HF920637.1_00133, HF920637.1_00142	MF599468.1_00016
OG0000366	HF920637.1_00064	MF599468.1_00107
OG0000369	HF920637.1_00090	MF599468.1_00072
OG0000372	HF920637.1_00194	MF599468.1_00065
