Orthogroup	Lymph_LDV1_L63545.1	Lymph_LCD4_MN803438.1
OG0000000	Lymph_LDV1_L63545.1_00007	Lymph_LCD4_MN803438.1_00124
OG0000001	Lymph_LDV1_L63545.1_00079	Lymph_LCD4_MN803438.1_00023
OG0000002	Lymph_LDV1_L63545.1_00035	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Lymph_LDV1_L63545.1_00076	Lymph_LCD4_MN803438.1_00113
OG0000004	Lymph_LDV1_L63545.1_00001	Lymph_LCD4_MN803438.1_00104
OG0000005	Lymph_LDV1_L63545.1_00090	Lymph_LCD4_MN803438.1_00027
OG0000006	Lymph_LDV1_L63545.1_00108	Lymph_LCD4_MN803438.1_00106
OG0000007	Lymph_LDV1_L63545.1_00093	Lymph_LCD4_MN803438.1_00142
OG0000008	Lymph_LDV1_L63545.1_00024	Lymph_LCD4_MN803438.1_00109
OG0000009	Lymph_LDV1_L63545.1_00056	Lymph_LCD4_MN803438.1_00071
OG0000011	Lymph_LDV1_L63545.1_00009	Lymph_LCD4_MN803438.1_00097
OG0000012	Lymph_LDV1_L63545.1_00013	Lymph_LCD4_MN803438.1_00013
OG0000013	Lymph_LDV1_L63545.1_00068	Lymph_LCD4_MN803438.1_00051
OG0000014	Lymph_LDV1_L63545.1_00073	Lymph_LCD4_MN803438.1_00122
OG0000015	Lymph_LDV1_L63545.1_00098	Lymph_LCD4_MN803438.1_00068
OG0000016	Lymph_LDV1_L63545.1_00071	Lymph_LCD4_MN803438.1_00128
OG0000017	Lymph_LDV1_L63545.1_00004	Lymph_LCD4_MN803438.1_00007
OG0000018	Lymph_LDV1_L63545.1_00030	Lymph_LCD4_MN803438.1_00070
OG0000019	Lymph_LDV1_L63545.1_00069	Lymph_LCD4_MN803438.1_00049
OG0000020	Lymph_LDV1_L63545.1_00110	Lymph_LCD4_MN803438.1_00046
OG0000021	Lymph_LDV1_L63545.1_00072	Lymph_LCD4_MN803438.1_00035
OG0000022	Lymph_LDV1_L63545.1_00043	Lymph_LCD4_MN803438.1_00089
OG0000023	Lymph_LDV1_L63545.1_00054	Lymph_LCD4_MN803438.1_00077
OG0000024	Lymph_LDV1_L63545.1_00015	Lymph_LCD4_MN803438.1_00024
OG0000026	Lymph_LDV1_L63545.1_00002	Lymph_LCD4_MN803438.1_00126
OG0000027	Lymph_LDV1_L63545.1_00058	Lymph_LCD4_MN803438.1_00037
OG0000028	Lymph_LDV1_L63545.1_00003	Lymph_LCD4_MN803438.1_00054
OG0000113	Lymph_LDV1_L63545.1_00042	Lymph_LCD4_MN803438.1_00112
OG0000113	Lymph_LDV1_L63545.1_00005	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012
OG0000113	Lymph_LDV1_L63545.1_00088	Lymph_LCD4_MN803438.1_00120
OG0000113	Lymph_LDV1_L63545.1_00051	Lymph_LCD4_MN803438.1_00107
OG0000113	Lymph_LDV1_L63545.1_00047	Lymph_LCD4_MN803438.1_00094
OG0000113	Lymph_LDV1_L63545.1_00050	Lymph_LCD4_MN803438.1_00125
OG0000133	Lymph_LDV1_L63545.1_00016	Lymph_LCD4_MN803438.1_00006
OG0000134	Lymph_LDV1_L63545.1_00092	Lymph_LCD4_MN803438.1_00115
OG0000137	Lymph_LDV1_L63545.1_00100	Lymph_LCD4_MN803438.1_00105
OG0000138	Lymph_LDV1_L63545.1_00023	Lymph_LCD4_MN803438.1_00137
OG0000150	Lymph_LDV1_L63545.1_00085	Lymph_LCD4_MN803438.1_00010
OG0000152	Lymph_LDV1_L63545.1_00018	Lymph_LCD4_MN803438.1_00003
OG0000154	Lymph_LDV1_L63545.1_00012	Lymph_LCD4_MN803438.1_00135
OG0000160	Lymph_LDV1_L63545.1_00055	Lymph_LCD4_MN803438.1_00078
OG0000161	Lymph_LDV1_L63545.1_00087	Lymph_LCD4_MN803438.1_00011, Lymph_LCD4_MN803438.1_00096
OG0000165	Lymph_LDV1_L63545.1_00048	Lymph_LCD4_MN803438.1_00092
OG0000166	Lymph_LDV1_L63545.1_00066	Lymph_LCD4_MN803438.1_00028
OG0000177	Lymph_LDV1_L63545.1_00091	Lymph_LCD4_MN803438.1_00030
OG0000180	Lymph_LDV1_L63545.1_00008	Lymph_LCD4_MN803438.1_00047
OG0000180	Lymph_LDV1_L63545.1_00057	Lymph_LCD4_MN803438.1_00067
OG0000180	Lymph_LDV1_L63545.1_00059	Lymph_LCD4_MN803438.1_00038
OG0000198	Lymph_LDV1_L63545.1_00105	Lymph_LCD4_MN803438.1_00045
OG0000205	Lymph_LDV1_L63545.1_00106	Lymph_LCD4_MN803438.1_00044
OG0000231	Lymph_LDV1_L63545.1_00082	Lymph_LCD4_MN803438.1_00140
OG0000234	Lymph_LDV1_L63545.1_00021	Lymph_LCD4_MN803438.1_00008
OG0000235	Lymph_LDV1_L63545.1_00109	Lymph_LCD4_MN803438.1_00026
OG0000236	Lymph_LDV1_L63545.1_00102	Lymph_LCD4_MN803438.1_00064, Lymph_LCD4_MN803438.1_00053, Lymph_LCD4_MN803438.1_00103
OG0000237	Lymph_LDV1_L63545.1_00032	Lymph_LCD4_MN803438.1_00099
OG0000238	Lymph_LDV1_L63545.1_00025	Lymph_LCD4_MN803438.1_00110
OG0000239	Lymph_LDV1_L63545.1_00022	Lymph_LCD4_MN803438.1_00136
OG0000297	Lymph_LDV1_L63545.1_00067	Lymph_LCD4_MN803438.1_00004
OG0000298	Lymph_LDV1_L63545.1_00095	Lymph_LCD4_MN803438.1_00072, Lymph_LCD4_MN803438.1_00133
OG0000397	Lymph_LDV1_L63545.1_00010	Lymph_LCD4_MN803438.1_00001
OG0000398	Lymph_LDV1_L63545.1_00017	Lymph_LCD4_MN803438.1_00002
OG0000399	Lymph_LDV1_L63545.1_00014	Lymph_LCD4_MN803438.1_00015
OG0000400	Lymph_LDV1_L63545.1_00099	Lymph_LCD4_MN803438.1_00016
OG0000401	Lymph_LDV1_L63545.1_00080	Lymph_LCD4_MN803438.1_00017
OG0000402	Lymph_LDV1_L63545.1_00039	Lymph_LCD4_MN803438.1_00019
OG0000403	Lymph_LDV1_L63545.1_00028	Lymph_LCD4_MN803438.1_00025
OG0000404	Lymph_LDV1_L63545.1_00065	Lymph_LCD4_MN803438.1_00031
OG0000405	Lymph_LDV1_L63545.1_00060	Lymph_LCD4_MN803438.1_00032
OG0000406	Lymph_LDV1_L63545.1_00074	Lymph_LCD4_MN803438.1_00033
OG0000407	Lymph_LDV1_L63545.1_00097	Lymph_LCD4_MN803438.1_00034
OG0000409	Lymph_LDV1_L63545.1_00026	Lymph_LCD4_MN803438.1_00040
OG0000410	Lymph_LDV1_L63545.1_00078	Lymph_LCD4_MN803438.1_00042
OG0000411	Lymph_LDV1_L63545.1_00077	Lymph_LCD4_MN803438.1_00043
OG0000413	Lymph_LDV1_L63545.1_00086	Lymph_LCD4_MN803438.1_00057
OG0000415	Lymph_LDV1_L63545.1_00104	Lymph_LCD4_MN803438.1_00059
OG0000416	Lymph_LDV1_L63545.1_00103	Lymph_LCD4_MN803438.1_00060
OG0000417	Lymph_LDV1_L63545.1_00036	Lymph_LCD4_MN803438.1_00062
OG0000418	Lymph_LDV1_L63545.1_00037	Lymph_LCD4_MN803438.1_00063
OG0000419	Lymph_LDV1_L63545.1_00094	Lymph_LCD4_MN803438.1_00073
OG0000420	Lymph_LDV1_L63545.1_00038	Lymph_LCD4_MN803438.1_00074
OG0000421	Lymph_LDV1_L63545.1_00031	Lymph_LCD4_MN803438.1_00075
OG0000422	Lymph_LDV1_L63545.1_00053	Lymph_LCD4_MN803438.1_00076
OG0000423	Lymph_LDV1_L63545.1_00020	Lymph_LCD4_MN803438.1_00079
OG0000424	Lymph_LDV1_L63545.1_00006	Lymph_LCD4_MN803438.1_00083
OG0000425	Lymph_LDV1_L63545.1_00041	Lymph_LCD4_MN803438.1_00085
OG0000426	Lymph_LDV1_L63545.1_00062	Lymph_LCD4_MN803438.1_00086
OG0000427	Lymph_LDV1_L63545.1_00044	Lymph_LCD4_MN803438.1_00088
OG0000428	Lymph_LDV1_L63545.1_00075	Lymph_LCD4_MN803438.1_00090
OG0000429	Lymph_LDV1_L63545.1_00049	Lymph_LCD4_MN803438.1_00091
OG0000430	Lymph_LDV1_L63545.1_00019	Lymph_LCD4_MN803438.1_00095
OG0000431	Lymph_LDV1_L63545.1_00034	Lymph_LCD4_MN803438.1_00102
OG0000432	Lymph_LDV1_L63545.1_00052	Lymph_LCD4_MN803438.1_00114
OG0000433	Lymph_LDV1_L63545.1_00089	Lymph_LCD4_MN803438.1_00119
OG0000435	Lymph_LDV1_L63545.1_00070	Lymph_LCD4_MN803438.1_00129
OG0000436	Lymph_LDV1_L63545.1_00046	Lymph_LCD4_MN803438.1_00131
OG0000437	Lymph_LDV1_L63545.1_00045	Lymph_LCD4_MN803438.1_00132
OG0000438	Lymph_LDV1_L63545.1_00096	Lymph_LCD4_MN803438.1_00134
OG0000439	Lymph_LDV1_L63545.1_00084	Lymph_LCD4_MN803438.1_00139
OG0000440	Lymph_LDV1_L63545.1_00101	Lymph_LCD4_MN803438.1_00141
OG0000441	Lymph_LDV1_L63545.1_00107	Lymph_LCD4_MN803438.1_00144
