Orthogroup	OM037668.1	MT521409.1
OG0000000	OM037668.1_00035	MT521409.1_00103
OG0000001	OM037668.1_00056	MT521409.1_00082
OG0000002	OM037668.1_00057	MT521409.1_00081
OG0000003	OM037668.1_00050	MT521409.1_00088
OG0000004	OM037668.1_00076	MT521409.1_00061
OG0000005	OM037668.1_00080	MT521409.1_00057
OG0000006	OM037668.1_00021	MT521409.1_00117
OG0000007	OM037668.1_00084	MT521409.1_00053
OG0000008	OM037668.1_00038	MT521409.1_00100
OG0000009	OM037668.1_00077	MT521409.1_00060
OG0000010	OM037668.1_00133	MT521409.1_00002
OG0000010	OM037668.1_00125	MT521409.1_00010
OG0000010	OM037668.1_00006	MT521409.1_00132
OG0000011	OM037668.1_00009	MT521409.1_00129
OG0000012	OM037668.1_00041	MT521409.1_00097
OG0000013	OM037668.1_00098	MT521409.1_00039
OG0000014	OM037668.1_00078	MT521409.1_00059
OG0000015	OM037668.1_00004	MT521409.1_00134
OG0000016	OM037668.1_00089	MT521409.1_00048
OG0000017	OM037668.1_00124	MT521409.1_00011
OG0000018	OM037668.1_00073	MT521409.1_00064
OG0000019	OM037668.1_00090	MT521409.1_00047
OG0000020	OM037668.1_00123	MT521409.1_00012
OG0000021	OM037668.1_00013	MT521409.1_00125
OG0000022	OM037668.1_00127	MT521409.1_00008
OG0000023	OM037668.1_00113	MT521409.1_00024
OG0000024	OM037668.1_00064	MT521409.1_00074
OG0000025	OM037668.1_00024	MT521409.1_00114
OG0000026	OM037668.1_00074	MT521409.1_00063
OG0000027	OM037668.1_00087	MT521409.1_00050
OG0000028	OM037668.1_00110	MT521409.1_00027
OG0000029	OM037668.1_00095	MT521409.1_00042
OG0000030	OM037668.1_00030	MT521409.1_00108
OG0000031	OM037668.1_00011	MT521409.1_00127
OG0000032	OM037668.1_00019	MT521409.1_00119
OG0000033	OM037668.1_00086	MT521409.1_00051
OG0000034	OM037668.1_00028	MT521409.1_00110
OG0000035	OM037668.1_00051	MT521409.1_00087
OG0000036	OM037668.1_00005	MT521409.1_00133
OG0000037	OM037668.1_00046	MT521409.1_00092
OG0000038	OM037668.1_00045	MT521409.1_00093
OG0000039	OM037668.1_00040	MT521409.1_00098
OG0000040	OM037668.1_00048	MT521409.1_00090
OG0000041	OM037668.1_00003	MT521409.1_00135
OG0000042	OM037668.1_00122	MT521409.1_00013
OG0000043	OM037668.1_00106	MT521409.1_00031
OG0000044	OM037668.1_00105	MT521409.1_00032
OG0000045	OM037668.1_00100	MT521409.1_00037
OG0000046	OM037668.1_00099	MT521409.1_00038
OG0000047	OM037668.1_00097	MT521409.1_00040
OG0000048	OM037668.1_00085	MT521409.1_00052
OG0000049	OM037668.1_00096	MT521409.1_00041
OG0000050	OM037668.1_00020	MT521409.1_00118
OG0000051	OM037668.1_00018	MT521409.1_00120
OG0000052	OM037668.1_00130	MT521409.1_00005
OG0000053	OM037668.1_00081	MT521409.1_00056
OG0000054	OM037668.1_00032	MT521409.1_00106
OG0000055	OM037668.1_00033	MT521409.1_00105
OG0000056	OM037668.1_00075	MT521409.1_00062
OG0000057	OM037668.1_00079	MT521409.1_00058
OG0000058	OM037668.1_00134	MT521409.1_00001
OG0000059	OM037668.1_00031	MT521409.1_00107
OG0000060	OM037668.1_00054	MT521409.1_00084
OG0000061	OM037668.1_00047	MT521409.1_00091
OG0000062	OM037668.1_00083	MT521409.1_00054
OG0000096	OM037668.1_00091	MT521409.1_00046
OG0000114	OM037668.1_00042	MT521409.1_00096
OG0000115	OM037668.1_00053	MT521409.1_00085
OG0000116	OM037668.1_00101	MT521409.1_00036
OG0000118	OM037668.1_00082	MT521409.1_00055
OG0000128	OM037668.1_00131	MT521409.1_00004
OG0000128	OM037668.1_00066	MT521409.1_00072
OG0000128	OM037668.1_00132	MT521409.1_00003
OG0000129	OM037668.1_00062	MT521409.1_00076
OG0000139	OM037668.1_00068	MT521409.1_00070
OG0000141	OM037668.1_00126	MT521409.1_00009
OG0000141	OM037668.1_00067	MT521409.1_00071
OG0000146	OM037668.1_00121	MT521409.1_00014
OG0000146	OM037668.1_00128	MT521409.1_00007
OG0000147	OM037668.1_00015	MT521409.1_00123
