HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N39.HOG0000000	OG0000000	n0																																												Rana_FV3_NC_005946.1_00010	Rana_SGIV_AY521625.1_00091
N39.HOG0000001	OG0000001	n0																																												Rana_FV3_NC_005946.1_00091	Rana_SGIV_AY521625.1_00064
N39.HOG0000002	OG0000002	n0																																												Rana_FV3_NC_005946.1_00053	Rana_SGIV_AY521625.1_00077
N39.HOG0000003	OG0000003	n0																																												Rana_FV3_NC_005946.1_00057	Rana_SGIV_AY521625.1_00130
N39.HOG0000004	OG0000004	n0																																												Rana_FV3_NC_005946.1_00028	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
N39.HOG0000005	OG0000005	n0																																												Rana_FV3_NC_005946.1_00002	Rana_SGIV_AY521625.1_00016
N39.HOG0000006	OG0000006	n0																																												Rana_FV3_NC_005946.1_00095	Rana_SGIV_AY521625.1_00085
N39.HOG0000007	OG0000007	n14																																												Rana_FV3_NC_005946.1_00042	Rana_SGIV_AY521625.1_00051
N39.HOG0000008	OG0000008	n0																																												Rana_FV3_NC_005946.1_00092	Rana_SGIV_AY521625.1_00142
N39.HOG0000009	OG0000009	n0																																												Rana_FV3_NC_005946.1_00014	Rana_SGIV_AY521625.1_00100
N39.HOG0000010	OG0000011	n0																																												Rana_FV3_NC_005946.1_00094	Rana_SGIV_AY521625.1_00086
N39.HOG0000011	OG0000012	n0																																												Rana_FV3_NC_005946.1_00061	Rana_SGIV_AY521625.1_00065
N39.HOG0000012	OG0000013	n0																																												Rana_FV3_NC_005946.1_00023	Rana_SGIV_AY521625.1_00047
N39.HOG0000013	OG0000014	n0																																												Rana_FV3_NC_005946.1_00082	Rana_SGIV_AY521625.1_00073
N39.HOG0000014	OG0000015	n0																																												Rana_FV3_NC_005946.1_00083	Rana_SGIV_AY521625.1_00074
N39.HOG0000015	OG0000016	n0																																												Rana_FV3_NC_005946.1_00060	Rana_SGIV_AY521625.1_00110
N39.HOG0000016	OG0000017	n0																																												Rana_FV3_NC_005946.1_00022	Rana_SGIV_AY521625.1_00048
N39.HOG0000017	OG0000018	n0																																												Rana_FV3_NC_005946.1_00016	Rana_SGIV_AY521625.1_00115
N39.HOG0000018	OG0000019	n0																																												Rana_FV3_NC_005946.1_00011	Rana_SGIV_AY521625.1_00053
