Orthogroup	LS484712.1	AY894343.1
OG0000000	LS484712.1_00114	AY894343.1_00029
OG0000001	LS484712.1_00095	AY894343.1_00008
OG0000002	LS484712.1_00142	AY894343.1_00007
OG0000003	LS484712.1_00187	AY894343.1_00015
OG0000005	LS484712.1_00256	AY894343.1_00096
OG0000006	LS484712.1_00040	AY894343.1_00076
OG0000007	LS484712.1_00234, LS484712.1_00050	AY894343.1_00090
OG0000008	LS484712.1_00248	AY894343.1_00028
OG0000009	LS484712.1_00130	AY894343.1_00115
OG0000011	LS484712.1_00203	AY894343.1_00063
OG0000012	LS484712.1_00200	AY894343.1_00021
OG0000013	LS484712.1_00143	AY894343.1_00056
OG0000014	LS484712.1_00202	AY894343.1_00123
OG0000015	LS484712.1_00135	AY894343.1_00124
OG0000016	LS484712.1_00048	AY894343.1_00087
OG0000017	LS484712.1_00240	AY894343.1_00032
OG0000018	LS484712.1_00053	AY894343.1_00108
OG0000019	LS484712.1_00192	AY894343.1_00086
OG0000020	LS484712.1_00188	AY894343.1_00030
OG0000021	LS484712.1_00096	AY894343.1_00005
OG0000022	LS484712.1_00194	AY894343.1_00034
OG0000023	LS484712.1_00117	AY894343.1_00043
OG0000024	LS484712.1_00149	AY894343.1_00025
OG0000068	LS484712.1_00002	AY894343.1_00067
