Orthogroup	AB104413	KX643370
OG0000000	MK689686.1_00029 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	MK689686.1_00008 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	MK689686.1_00014 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	MK689686.1_00005 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000005	MK689686.1_00007 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000006	MK689686.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	MK689686.1_00030 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000008	MK689686.1_00032 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000009	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	MK689686.1_00056 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	MK689686.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	MK689686.1_00084 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	MK689686.1_00088 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	MK689686.1_00105 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	MK689686.1_00120 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	MK689686.1_00121 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	MK689686.1_00074 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000019	MK689686.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000020	MK689686.1_00093 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	MK689686.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000022	MK689686.1_00043 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	MK689686.1_00112 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000025	MK689686.1_00086 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000026	MK689686.1_00108 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000027	MK689686.1_00046 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000028	MK689686.1_00006 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
