Orthogroup	LS484712	AY521625
OG0000000	LS484712.1_00114 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	LS484712.1_00095 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	LS484712.1_00187 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	LS484712.1_00248 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	LS484712.1_00096 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000005	LS484712.1_00142 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000006	LS484712.1_00200 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000007	LS484712.1_00188 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000008	LS484712.1_00240 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000009	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	LS484712.1_00143 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	LS484712.1_00203 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	LS484712.1_00192 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	LS484712.1_00050 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	LS484712.1_00053 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	LS484712.1_00202 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	LS484712.1_00135 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	LS484712.1_00040 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000022	LS484712.1_00117 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000132	LS484712.1_00057 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000134	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000140	LS484712.1_00133 hypothetical protein	AY521625.1_00133 AY521625.1 - hypothetical protein translation
