locus_tag	ftype	length_bp	gene	EC_number	COG	product
23043610003_00001	CDS	159				hypothetical protein
23043610003_00002	CDS	1500				hypothetical protein
23043610003_00003	CDS	540				hypothetical protein
23043610003_00004	CDS	2847				hypothetical protein
23043610003_00005	CDS	192				hypothetical protein
23043610003_00006	CDS	237				hypothetical protein
23043610003_00007	CDS	333				hypothetical protein
23043610003_00008	CDS	588				hypothetical protein
23043610003_00009	CDS	792				hypothetical protein
23043610003_00010	CDS	942				hypothetical protein
23043610003_00011	CDS	294				hypothetical protein
23043610003_00012	CDS	1386				hypothetical protein
23043610003_00013	CDS	333				hypothetical protein
23043610003_00014	CDS	261				hypothetical protein
23043610003_00015	CDS	393				hypothetical protein
23043610003_00016	CDS	243				hypothetical protein
23043610003_00017	CDS	219				hypothetical protein
23043610003_00018	CDS	1545				hypothetical protein
23043610003_00019	CDS	1458				hypothetical protein
23043610003_00020	CDS	1362	MCP			Major capsid protein
23043610003_00021	CDS	306				hypothetical protein
23043610003_00022	CDS	561				hypothetical protein
23043610003_00023	CDS	492				hypothetical protein
23043610003_00024	CDS	306				hypothetical protein
23043610003_00025	CDS	456				hypothetical protein
23043610003_00026	CDS	1137				hypothetical protein
23043610003_00027	CDS	825				hypothetical protein
23043610003_00028	CDS	372				hypothetical protein
23043610003_00029	CDS	720				hypothetical protein
23043610003_00030	CDS	651				hypothetical protein
23043610003_00031	CDS	510				hypothetical protein
23043610003_00032	CDS	1320				hypothetical protein
23043610003_00033	CDS	261				hypothetical protein
23043610003_00034	CDS	657				hypothetical protein
23043610003_00035	CDS	1392				hypothetical protein
23043610003_00036	CDS	1011				hypothetical protein
23043610003_00037	CDS	2583				hypothetical protein
23043610003_00038	CDS	504				hypothetical protein
23043610003_00039	CDS	744				hypothetical protein
23043610003_00040	CDS	891				hypothetical protein
23043610003_00041	CDS	156				hypothetical protein
23043610003_00042	CDS	2766				hypothetical protein
23043610003_00043	CDS	600				hypothetical protein
23043610003_00044	CDS	870				hypothetical protein
23043610003_00045	CDS	366				hypothetical protein
23043610003_00046	CDS	777				hypothetical protein
23043610003_00047	CDS	402				hypothetical protein
23043610003_00048	CDS	1443				hypothetical protein
23043610003_00049	CDS	516				hypothetical protein
23043610003_00050	CDS	546				hypothetical protein
23043610003_00051	CDS	324				hypothetical protein
23043610003_00052	CDS	456				hypothetical protein
23043610003_00053	CDS	738				hypothetical protein
23043610003_00054	CDS	1161				hypothetical protein
23043610003_00055	CDS	501				hypothetical protein
23043610003_00056	CDS	927				hypothetical protein
23043610003_00057	CDS	162				hypothetical protein
23043610003_00058	CDS	963				hypothetical protein
23043610003_00059	CDS	1557				hypothetical protein
23043610003_00060	CDS	414				hypothetical protein
23043610003_00061	CDS	771				hypothetical protein
23043610003_00062	CDS	465				hypothetical protein
23043610003_00063	CDS	603				hypothetical protein
23043610003_00064	CDS	1356				hypothetical protein
23043610003_00065	CDS	105				hypothetical protein
23043610003_00066	CDS	360				hypothetical protein
23043610003_00067	CDS	1107				hypothetical protein
23043610003_00068	CDS	498				hypothetical protein
23043610003_00069	CDS	222				hypothetical protein
23043610003_00070	CDS	465				hypothetical protein
23043610003_00071	CDS	1335				hypothetical protein
23043610003_00072	CDS	2973				hypothetical protein
23043610003_00073	CDS	267				hypothetical protein
23043610003_00074	CDS	1014				hypothetical protein
23043610003_00075	CDS	420				hypothetical protein
23043610003_00076	CDS	1005				hypothetical protein
23043610003_00077	CDS	1611				hypothetical protein
23043610003_00078	CDS	477				hypothetical protein
23043610003_00079	CDS	666				hypothetical protein
23043610003_00080	CDS	1434				hypothetical protein
23043610003_00081	CDS	585				hypothetical protein
23043610003_00082	CDS	693				hypothetical protein
23043610003_00083	CDS	294				hypothetical protein
23043610003_00084	CDS	264				hypothetical protein
23043610003_00085	CDS	1476				hypothetical protein
23043610003_00086	CDS	2649				hypothetical protein
23043610003_00087	CDS	369				hypothetical protein
23043610003_00088	CDS	3321				hypothetical protein
23043610003_00089	CDS	804				hypothetical protein
23043610003_00090	CDS	267				hypothetical protein
23043610003_00091	CDS	261				hypothetical protein
23043610003_00092	CDS	648				hypothetical protein
23043610003_00093	CDS	924				hypothetical protein
23043610003_00094	CDS	927				hypothetical protein
23043610003_00095	CDS	192				hypothetical protein
23043610003_00096	CDS	453				hypothetical protein
23043610003_00097	CDS	429				hypothetical protein
23043610003_00098	CDS	171				hypothetical protein
23043610003_00099	CDS	345				hypothetical protein
23043610003_00100	CDS	264				hypothetical protein
23043610003_00101	CDS	684				hypothetical protein
23043610003_00102	CDS	915				hypothetical protein
23043610003_00103	CDS	801				hypothetical protein
23043610003_00104	CDS	363				hypothetical protein
23043610003_00105	CDS	594				hypothetical protein
23043610003_00106	CDS	1293				hypothetical protein
23043610003_00107	CDS	1140				hypothetical protein
23043610003_00108	CDS	873				hypothetical protein
23043610003_00109	CDS	1437				hypothetical protein
23043610003_00110	CDS	1353				hypothetical protein
23043610003_00111	CDS	1026				hypothetical protein
23043610003_00112	CDS	1134				hypothetical protein
23043610003_00113	CDS	3135	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
23043610003_00114	CDS	903				hypothetical protein
23043610003_00115	CDS	567				hypothetical protein
23043610003_00116	CDS	603				hypothetical protein
23043610003_00117	CDS	204				hypothetical protein
23043610003_00118	CDS	3507				hypothetical protein
23043610003_00119	CDS	897				hypothetical protein
23043610003_00120	CDS	324				hypothetical protein
23043610003_00121	CDS	858				hypothetical protein
23043610003_00122	CDS	393				hypothetical protein
23043610003_00123	CDS	180				hypothetical protein
23043610003_00124	CDS	309				hypothetical protein
