Orthogroup	MN562489.1	MN803438.1
OG0000000	MN562489.1_00102	MN803438.1_00124
OG0000001	MN562489.1_00080	MN803438.1_00023
OG0000003	MN562489.1_00081	MN803438.1_00101, MN803438.1_00056
OG0000004	MN562489.1_00087	MN803438.1_00113
OG0000005	MN562489.1_00099	MN803438.1_00106
OG0000006	MN562489.1_00116	MN803438.1_00142
OG0000007	MN562489.1_00052	MN803438.1_00027
OG0000008	MN562489.1_00060	MN803438.1_00104
OG0000009	MN562489.1_00059	MN803438.1_00109
OG0000010	MN562489.1_00124	MN803438.1_00089
OG0000011	MN562489.1_00096	MN803438.1_00128
OG0000012	MN562489.1_00012	MN803438.1_00068
OG0000013	MN562489.1_00011	MN803438.1_00035
OG0000014	MN562489.1_00008	MN803438.1_00013
OG0000015	MN562489.1_00038	MN803438.1_00007
OG0000016	MN562489.1_00128	MN803438.1_00049
OG0000017	MN562489.1_00046	MN803438.1_00097
OG0000018	MN562489.1_00047	MN803438.1_00122
OG0000019	MN562489.1_00063	MN803438.1_00051
OG0000020	MN562489.1_00058	MN803438.1_00070
OG0000021	MN562489.1_00133	MN803438.1_00046
OG0000022	MN562489.1_00023	MN803438.1_00077
OG0000023	MN562489.1_00056	MN803438.1_00071
OG0000024	MN562489.1_00062	MN803438.1_00126
OG0000026	MN562489.1_00049	MN803438.1_00037
OG0000027	MN562489.1_00026	MN803438.1_00054
OG0000028	MN562489.1_00126	MN803438.1_00145
OG0000129	MN562489.1_00075	MN803438.1_00082
OG0000144	MN562489.1_00122, MN562489.1_00066	MN803438.1_00022
OG0000146	MN562489.1_00136	MN803438.1_00010
OG0000149	MN562489.1_00069	MN803438.1_00005
OG0000156	MN562489.1_00101	MN803438.1_00011, MN803438.1_00096
OG0000190	MN562489.1_00048	MN803438.1_00130
