Orthogroup	AF371960.1	AF303741.1
OG0000000	AF371960.1_00031	AF303741.1_00079, AF303741.1_00152
OG0000001	AF371960.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	AF371960.1_00007	AF303741.1_00125
OG0000003	AF371960.1_00015	AF303741.1_00035
OG0000004	AF371960.1_00112	AF303741.1_00080
OG0000005	AF371960.1_00096	AF303741.1_00129
OG0000006	AF371960.1_00078	AF303741.1_00132
OG0000007	AF371960.1_00092	AF303741.1_00149
OG0000008	AF371960.1_00030	AF303741.1_00165
OG0000009	AF371960.1_00113	AF303741.1_00176
OG0000011	AF371960.1_00064	AF303741.1_00006
OG0000012	AF371960.1_00021	AF303741.1_00011
OG0000013	AF371960.1_00057	AF303741.1_00023
OG0000014	AF371960.1_00121	AF303741.1_00026
OG0000015	AF371960.1_00122	AF303741.1_00046
OG0000016	AF371960.1_00089	AF303741.1_00062
OG0000017	AF371960.1_00034	AF303741.1_00063
OG0000018	AF371960.1_00107	AF303741.1_00081
OG0000019	AF371960.1_00088	AF303741.1_00137
OG0000020	AF371960.1_00032	AF303741.1_00156
OG0000021	AF371960.1_00005	AF303741.1_00158
OG0000022	AF371960.1_00036	AF303741.1_00189
OG0000023	AF371960.1_00045	AF303741.1_00154
OG0000024	AF371960.1_00027	AF303741.1_00168
OG0000025	AF371960.1_00065	AF303741.1_00051
