Orthogroup	Decap_MF599468.1	Lymph_LCD4_MN803438.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Lymph_LCD4_MN803438.1_00124
OG0000001	Decap_MF599468.1_00152	Lymph_LCD4_MN803438.1_00023
OG0000002	Decap_MF599468.1_00163	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	Decap_MF599468.1_00011	Lymph_LCD4_MN803438.1_00113
OG0000004	Decap_MF599468.1_00092	Lymph_LCD4_MN803438.1_00104
OG0000005	Decap_MF599468.1_00174	Lymph_LCD4_MN803438.1_00027
OG0000006	Decap_MF599468.1_00030	Lymph_LCD4_MN803438.1_00106
OG0000007	Decap_MF599468.1_00010	Lymph_LCD4_MN803438.1_00142
OG0000008	Decap_MF599468.1_00075	Lymph_LCD4_MN803438.1_00109
OG0000009	Decap_MF599468.1_00154	Lymph_LCD4_MN803438.1_00071
OG0000011	Decap_MF599468.1_00106	Lymph_LCD4_MN803438.1_00097
OG0000012	Decap_MF599468.1_00071	Lymph_LCD4_MN803438.1_00013
OG0000013	Decap_MF599468.1_00117	Lymph_LCD4_MN803438.1_00051
OG0000014	Decap_MF599468.1_00046	Lymph_LCD4_MN803438.1_00122
OG0000015	Decap_MF599468.1_00090	Lymph_LCD4_MN803438.1_00068
OG0000016	Decap_MF599468.1_00112	Lymph_LCD4_MN803438.1_00128
OG0000017	Decap_MF599468.1_00033	Lymph_LCD4_MN803438.1_00007
OG0000018	Decap_MF599468.1_00122	Lymph_LCD4_MN803438.1_00070
OG0000019	Decap_MF599468.1_00149	Lymph_LCD4_MN803438.1_00049
OG0000020	Decap_MF599468.1_00009	Lymph_LCD4_MN803438.1_00046
OG0000021	Decap_MF599468.1_00035	Lymph_LCD4_MN803438.1_00035
OG0000022	Decap_MF599468.1_00116	Lymph_LCD4_MN803438.1_00089
OG0000023	Decap_MF599468.1_00171	Lymph_LCD4_MN803438.1_00077
OG0000026	Decap_MF599468.1_00039	Lymph_LCD4_MN803438.1_00126
OG0000113	Decap_MF599468.1_00096	Lymph_LCD4_MN803438.1_00112
OG0000113	Decap_MF599468.1_00045, Decap_MF599468.1_00036	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125
OG0000133	Decap_MF599468.1_00027	Lymph_LCD4_MN803438.1_00006
OG0000134	Decap_MF599468.1_00002	Lymph_LCD4_MN803438.1_00115
OG0000138	Decap_MF599468.1_00051	Lymph_LCD4_MN803438.1_00137
OG0000152	Decap_MF599468.1_00060	Lymph_LCD4_MN803438.1_00003
OG0000154	Decap_MF599468.1_00074	Lymph_LCD4_MN803438.1_00135
OG0000160	Decap_MF599468.1_00156, Decap_MF599468.1_00066	Lymph_LCD4_MN803438.1_00078
OG0000177	Decap_MF599468.1_00089, Decap_MF599468.1_00108	Lymph_LCD4_MN803438.1_00030
OG0000205	Decap_MF599468.1_00006	Lymph_LCD4_MN803438.1_00044
OG0000231	Decap_MF599468.1_00062	Lymph_LCD4_MN803438.1_00140
