Orthogroup	OL774654.1	HF920633.1
OG0000000	OL774654.1_00031	HF920633.1_00044
OG0000001	OL774654.1_00007	HF920633.1_00073
OG0000003	OL774654.1_00008	HF920633.1_00069
OG0000004	OL774654.1_00015	HF920633.1_00127
OG0000005	OL774654.1_00030	HF920633.1_00043
OG0000006	OL774654.1_00075	HF920633.1_00025
OG0000007	OL774654.1_00089	HF920633.1_00091
OG0000008	OL774654.1_00111	HF920633.1_00079
OG0000009	OL774654.1_00113	HF920633.1_00122
OG0000010	OL774654.1_00005	HF920633.1_00097
OG0000011	OL774654.1_00022	HF920633.1_00001
OG0000012	OL774654.1_00032	HF920633.1_00080
OG0000013	OL774654.1_00034	HF920633.1_00158
OG0000014	OL774654.1_00036	HF920633.1_00175
OG0000015	OL774654.1_00057	HF920633.1_00067
OG0000016	OL774654.1_00063	HF920633.1_00118
OG0000017	OL774654.1_00085	HF920633.1_00163
OG0000018	OL774654.1_00086	HF920633.1_00094
OG0000019	OL774654.1_00106	HF920633.1_00003
OG0000020	OL774654.1_00121	HF920633.1_00138
OG0000021	OL774654.1_00122	HF920633.1_00058
OG0000022	OL774654.1_00045	HF920633.1_00017
OG0000025	OL774654.1_00064	HF920633.1_00047
OG0000028	OL774654.1_00006	HF920633.1_00030
