Orthogroup	MN803438.1	HF920637.1
OG0000000	MN803438.1_00124	HF920637.1_00129, HF920637.1_00164
OG0000001	MN803438.1_00023	HF920637.1_00143
OG0000003	MN803438.1_00101, MN803438.1_00056	HF920637.1_00059
OG0000004	MN803438.1_00113	HF920637.1_00159
OG0000005	MN803438.1_00106	HF920637.1_00176, HF920637.1_00175
OG0000006	MN803438.1_00142	HF920637.1_00121
OG0000007	MN803438.1_00027	HF920637.1_00172
OG0000008	MN803438.1_00104	HF920637.1_00025
OG0000009	MN803438.1_00109	HF920637.1_00153
OG0000010	MN803438.1_00089	HF920637.1_00041
OG0000011	MN803438.1_00128	HF920637.1_00001
OG0000012	MN803438.1_00068	HF920637.1_00031
OG0000013	MN803438.1_00035	HF920637.1_00073
OG0000014	MN803438.1_00013	HF920637.1_00213
OG0000015	MN803438.1_00007	HF920637.1_00017
OG0000016	MN803438.1_00049	HF920637.1_00217
OG0000017	MN803438.1_00097	HF920637.1_00197
OG0000018	MN803438.1_00122	HF920637.1_00079
OG0000019	MN803438.1_00051	HF920637.1_00111
OG0000020	MN803438.1_00070	HF920637.1_00108
OG0000021	MN803438.1_00046	HF920637.1_00152
OG0000022	MN803438.1_00077	HF920637.1_00033
OG0000023	MN803438.1_00071	HF920637.1_00221
OG0000024	MN803438.1_00126	HF920637.1_00203
OG0000028	MN803438.1_00145	HF920637.1_00127
OG0000120	MN803438.1_00094, MN803438.1_00125	HF920637.1_00018
OG0000120	MN803438.1_00012	HF920637.1_00138
OG0000137	MN803438.1_00115	HF920637.1_00219
OG0000138	MN803438.1_00006	HF920637.1_00014
OG0000147	MN803438.1_00024	HF920637.1_00061
OG0000148	MN803438.1_00105	HF920637.1_00105
OG0000149	MN803438.1_00005	HF920637.1_00123
OG0000153	MN803438.1_00078	HF920637.1_00072
OG0000155	MN803438.1_00137	HF920637.1_00181
OG0000167	MN803438.1_00135	HF920637.1_00168
OG0000183	MN803438.1_00045	HF920637.1_00024
