Orthogroup	KF938901.1	NC_027778.1
OG0000000	KF938901.1_00126	NC_027778.1_00083
OG0000001	KF938901.1_00044	NC_027778.1_00061
OG0000003	KF938901.1_00080	NC_027778.1_00062
OG0000004	KF938901.1_00005	NC_027778.1_00068
OG0000005	KF938901.1_00067	NC_027778.1_00080
OG0000006	KF938901.1_00072	NC_027778.1_00098
OG0000007	KF938901.1_00053	NC_027778.1_00032
OG0000008	KF938901.1_00043	NC_027778.1_00040
OG0000009	KF938901.1_00114	NC_027778.1_00039
OG0000010	KF938901.1_00124	NC_027778.1_00106
OG0000011	KF938901.1_00054	NC_027778.1_00077
OG0000012	KF938901.1_00047	NC_027778.1_00133
OG0000013	KF938901.1_00123	NC_027778.1_00132
OG0000014	KF938901.1_00023	NC_027778.1_00129
OG0000015	KF938901.1_00060	NC_027778.1_00018
OG0000016	KF938901.1_00092	NC_027778.1_00111
OG0000017	KF938901.1_00012	NC_027778.1_00026
OG0000018	KF938901.1_00046	NC_027778.1_00027
OG0000019	KF938901.1_00025	NC_027778.1_00043
OG0000020	KF938901.1_00074	NC_027778.1_00038
OG0000021	KF938901.1_00095	NC_027778.1_00116
OG0000022	KF938901.1_00031	NC_027778.1_00003
OG0000025	KF938901.1_00093	NC_027778.1_00094, NC_027778.1_00095
OG0000149	KF938901.1_00108	NC_027778.1_00049
