Orthogroup	HF920637.1	KT804738.1
OG0000000	HF920637.1_00129, HF920637.1_00164	KT804738.1_00029
OG0000001	HF920637.1_00143	KT804738.1_00007
OG0000003	HF920637.1_00059	KT804738.1_00008
OG0000004	HF920637.1_00159	KT804738.1_00015
OG0000005	HF920637.1_00176, HF920637.1_00175	KT804738.1_00028
OG0000006	HF920637.1_00121	KT804738.1_00072
OG0000007	HF920637.1_00172	KT804738.1_00086
OG0000008	HF920637.1_00025	KT804738.1_00109
OG0000009	HF920637.1_00153	KT804738.1_00111
OG0000010	HF920637.1_00041	KT804738.1_00005
OG0000011	HF920637.1_00001	KT804738.1_00021
OG0000012	HF920637.1_00031	KT804738.1_00030
OG0000013	HF920637.1_00073	KT804738.1_00032
OG0000014	HF920637.1_00213	KT804738.1_00034
OG0000015	HF920637.1_00017	KT804738.1_00055
OG0000016	HF920637.1_00217	KT804738.1_00060
OG0000017	HF920637.1_00197	KT804738.1_00082
OG0000018	HF920637.1_00079	KT804738.1_00083
OG0000019	HF920637.1_00111	KT804738.1_00104
OG0000020	HF920637.1_00108	KT804738.1_00119
OG0000021	HF920637.1_00152	KT804738.1_00120
OG0000022	HF920637.1_00033	KT804738.1_00043
OG0000023	HF920637.1_00221	KT804738.1_00092
OG0000024	HF920637.1_00203	KT804738.1_00107
OG0000025	HF920637.1_00156	KT804738.1_00061
OG0000028	HF920637.1_00127	KT804738.1_00006
