Orthogroup	KF938901.1	BD143114.1
OG0000000	KF938901.1_00126	BD143114.1_00045
OG0000001	KF938901.1_00044	BD143114.1_00068
OG0000003	KF938901.1_00080	BD143114.1_00067
OG0000004	KF938901.1_00005	BD143114.1_00060
OG0000005	KF938901.1_00067	BD143114.1_00046
OG0000006	KF938901.1_00072	BD143114.1_00001
OG0000007	KF938901.1_00053	BD143114.1_00109
OG0000008	KF938901.1_00043	BD143114.1_00087
OG0000009	KF938901.1_00114	BD143114.1_00085
OG0000010	KF938901.1_00124	BD143114.1_00070
OG0000011	KF938901.1_00054	BD143114.1_00053
OG0000012	KF938901.1_00047	BD143114.1_00044
OG0000013	KF938901.1_00123	BD143114.1_00042
OG0000014	KF938901.1_00023	BD143114.1_00040
OG0000015	KF938901.1_00060	BD143114.1_00019
OG0000016	KF938901.1_00092	BD143114.1_00013
OG0000017	KF938901.1_00012	BD143114.1_00114
OG0000018	KF938901.1_00046	BD143114.1_00113
OG0000019	KF938901.1_00025	BD143114.1_00092
OG0000020	KF938901.1_00074	BD143114.1_00077
OG0000021	KF938901.1_00095	BD143114.1_00076
OG0000022	KF938901.1_00031	BD143114.1_00031
OG0000025	KF938901.1_00093	BD143114.1_00012
