Orthogroup	MT798582.1	LS484712.1
OG0000000	MT798582.1_00076	LS484712.1_00114
OG0000001	MT798582.1_00019	LS484712.1_00142
OG0000003	MT798582.1_00018	LS484712.1_00095
OG0000004	MT798582.1_00012	LS484712.1_00187
OG0000005	MT798582.1_00077	LS484712.1_00248
OG0000006	MT798582.1_00088	LS484712.1_00040
OG0000007	MT798582.1_00116	LS484712.1_00234, LS484712.1_00050
OG0000009	MT798582.1_00036	LS484712.1_00130
OG0000010	MT798582.1_00021	LS484712.1_00096
OG0000011	MT798582.1_00004	LS484712.1_00200
OG0000012	MT798582.1_00075	LS484712.1_00188
OG0000013	MT798582.1_00073	LS484712.1_00240
OG0000014	MT798582.1_00071	LS484712.1_00194
OG0000015	MT798582.1_00049	LS484712.1_00143
OG0000016	MT798582.1_00100	LS484712.1_00203
OG0000017	MT798582.1_00120	LS484712.1_00192
OG0000018	MT798582.1_00119	LS484712.1_00048
OG0000019	MT798582.1_00042	LS484712.1_00053
OG0000020	MT798582.1_00028	LS484712.1_00202
OG0000021	MT798582.1_00027	LS484712.1_00135
OG0000022	MT798582.1_00062	LS484712.1_00117
OG0000068	MT798582.1_00096	LS484712.1_00002
