HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N38.HOG0000000	OG0000000	n0	AF303741.1_00079, AF303741.1_00152								HF920633.1_00044	HF920637.1_00129, HF920637.1_00164		KF938901.1_00126			LS484712.1_00114																														
N38.HOG0000001	OG0000001	n0	AF303741.1_00200, AF303741.1_00047								HF920633.1_00069	HF920637.1_00059		KF938901.1_00080			LS484712.1_00095																														
N38.HOG0000002	OG0000002	n0	AF303741.1_00125								HF920633.1_00073	HF920637.1_00143		KF938901.1_00044			LS484712.1_00142																														
N38.HOG0000003	OG0000003	n0	AF303741.1_00035								HF920633.1_00127	HF920637.1_00159		KF938901.1_00005			LS484712.1_00187																														
N38.HOG0000004	OG0000004	n0	AF303741.1_00080								HF920633.1_00079	HF920637.1_00025		KF938901.1_00043																																	
N38.HOG0000005	OG0000005	n0	AF303741.1_00129								HF920633.1_00085	HF920637.1_00221		KF938901.1_00125			LS484712.1_00256																														
N38.HOG0000006	OG0000006	n0	AF303741.1_00132								HF920633.1_00025	HF920637.1_00121		KF938901.1_00072			LS484712.1_00040																														
N38.HOG0000007	OG0000007	n0	AF303741.1_00149								HF920633.1_00091	HF920637.1_00172		KF938901.1_00053			LS484712.1_00234, LS484712.1_00050																														
N38.HOG0000008	OG0000008	n0	AF303741.1_00165								HF920633.1_00043	HF920637.1_00176, HF920637.1_00175		KF938901.1_00067			LS484712.1_00248																														
N38.HOG0000009	OG0000009	n0	AF303741.1_00176								HF920633.1_00122	HF920637.1_00153		KF938901.1_00114			LS484712.1_00130																														
N38.HOG0000010	OG0000011	n0	AF303741.1_00006								HF920633.1_00118	HF920637.1_00217		KF938901.1_00092			LS484712.1_00203																														
N38.HOG0000011	OG0000012	n0	AF303741.1_00011								HF920633.1_00001	HF920637.1_00001		KF938901.1_00054			LS484712.1_00200																														
N38.HOG0000012	OG0000013	n0	AF303741.1_00023								HF920633.1_00067	HF920637.1_00017		KF938901.1_00060			LS484712.1_00143																														
N38.HOG0000013	OG0000014	n0	AF303741.1_00026								HF920633.1_00138	HF920637.1_00108		KF938901.1_00074			LS484712.1_00202																														
N38.HOG0000014	OG0000015	n0	AF303741.1_00046								HF920633.1_00058	HF920637.1_00152		KF938901.1_00095			LS484712.1_00135																														
N38.HOG0000015	OG0000016	n0	AF303741.1_00062								HF920633.1_00094	HF920637.1_00079		KF938901.1_00046			LS484712.1_00048																														
N38.HOG0000016	OG0000017	n0	AF303741.1_00063								HF920633.1_00158	HF920637.1_00073		KF938901.1_00123			LS484712.1_00240																														
N38.HOG0000017	OG0000018	n0	AF303741.1_00081								HF920633.1_00003	HF920637.1_00111		KF938901.1_00025			LS484712.1_00053																														
N38.HOG0000018	OG0000019	n0	AF303741.1_00137								HF920633.1_00163	HF920637.1_00197		KF938901.1_00012			LS484712.1_00192																														
N38.HOG0000019	OG0000020	n0	AF303741.1_00156								HF920633.1_00080	HF920637.1_00031		KF938901.1_00047			LS484712.1_00188																														
N38.HOG0000020	OG0000021	n0	AF303741.1_00158								HF920633.1_00097	HF920637.1_00041		KF938901.1_00124			LS484712.1_00096																														
N38.HOG0000021	OG0000022	n0	AF303741.1_00189								HF920633.1_00175	HF920637.1_00213		KF938901.1_00023			LS484712.1_00194																														
N38.HOG0000022	OG0000023	n0	AF303741.1_00154								HF920633.1_00017	HF920637.1_00033		KF938901.1_00031			LS484712.1_00117																														
N38.HOG0000023	OG0000024	n0	AF303741.1_00168								HF920633.1_00062	HF920637.1_00061		KF938901.1_00094			LS484712.1_00149																														
N38.HOG0000024	OG0000025	n0	AF303741.1_00051								HF920633.1_00047	HF920637.1_00156		KF938901.1_00093																																	
N38.HOG0000025	OG0000031	n0										HF920637.1_00127																																			
N38.HOG0000026	OG0000068	n0															LS484712.1_00002																														
N38.HOG0000027	OG0000113	n1	AF303741.1_00169								HF920633.1_00145	HF920637.1_00077, HF920637.1_00148		KF938901.1_00104																																	
N38.HOG0000028	OG0000113	n17	AF303741.1_00170								HF920633.1_00086	HF920637.1_00138																																			
N38.HOG0000029	OG0000119	n0	AF303741.1_00109, AF303741.1_00094, AF303741.1_00173, AF303741.1_00095, AF303741.1_00007, AF303741.1_00066								HF920633.1_00040, HF920633.1_00117, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170	HF920637.1_00158, HF920637.1_00208, HF920637.1_00130, HF920637.1_00102, HF920637.1_00096, HF920637.1_00206, HF920637.1_00184, HF920637.1_00034		KF938901.1_00085, KF938901.1_00140																																	
N38.HOG0000030	OG0000122	n0	AF303741.1_00005, AF303741.1_00065								HF920633.1_00116	HF920637.1_00183																																			
N38.HOG0000031	OG0000123	n0	AF303741.1_00195, AF303741.1_00178, AF303741.1_00121								HF920633.1_00130, HF920633.1_00174, HF920633.1_00007, HF920633.1_00147	HF920637.1_00029, HF920637.1_00198, HF920637.1_00147, HF920637.1_00218		KF938901.1_00049, KF938901.1_00020, KF938901.1_00115, KF938901.1_00091			LS484712.1_00198																														
N38.HOG0000032	OG0000126	n0	AF303741.1_00088								HF920633.1_00059, HF920633.1_00119, HF920633.1_00081			KF938901.1_00030, KF938901.1_00084, KF938901.1_00158, KF938901.1_00119, KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135																																	
N38.HOG0000033	OG0000132	n0															LS484712.1_00025, LS484712.1_00026, LS484712.1_00027, LS484712.1_00028, LS484712.1_00030, LS484712.1_00034, LS484712.1_00252, LS484712.1_00253, LS484712.1_00254, LS484712.1_00031, LS484712.1_00032																														
N38.HOG0000034	OG0000133	n0	AF303741.1_00130, AF303741.1_00089								HF920633.1_00004	HF920637.1_00058, HF920637.1_00093, HF920637.1_00094, HF920637.1_00199, HF920637.1_00201, HF920637.1_00057, HF920637.1_00216																																			
N38.HOG0000035	OG0000134	n0	AF303741.1_00126								HF920633.1_00135	HF920637.1_00219		KF938901.1_00086			LS484712.1_00057																														
N38.HOG0000036	OG0000135	n0	AF303741.1_00157								HF920633.1_00064	HF920637.1_00014		KF938901.1_00007			LS484712.1_00197																														
N38.HOG0000037	OG0000136	n0															LS484712.1_00008, LS484712.1_00009, LS484712.1_00010, LS484712.1_00064, LS484712.1_00065, LS484712.1_00068, LS484712.1_00069, LS484712.1_00070, LS484712.1_00072, LS484712.1_00255																														
N38.HOG0000038	OG0000137	n0	AF303741.1_00031								HF920633.1_00132	HF920637.1_00105		KF938901.1_00048			LS484712.1_00251																														
N38.HOG0000039	OG0000138	n0	AF303741.1_00100, AF303741.1_00162								HF920633.1_00053	HF920637.1_00181		KF938901.1_00065			LS484712.1_00063																														
N38.HOG0000040	OG0000139	n0	AF303741.1_00101								HF920633.1_00156	HF920637.1_00123		KF938901.1_00108																																	
N38.HOG0000041	OG0000148	n0	AF303741.1_00072								HF920633.1_00026	HF920637.1_00060		KF938901.1_00069			LS484712.1_00133																														
N38.HOG0000042	OG0000149	n0	AF303741.1_00185								HF920633.1_00014, HF920633.1_00027, HF920633.1_00153, HF920633.1_00092, HF920633.1_00104	HF920637.1_00084, HF920637.1_00169																																			
N38.HOG0000043	OG0000152	n0	AF303741.1_00099, AF303741.1_00070								HF920633.1_00019, HF920633.1_00100, HF920633.1_00099, HF920633.1_00129	HF920637.1_00151																																			
N38.HOG0000044	OG0000153	n0	AF303741.1_00145, AF303741.1_00090								HF920633.1_00088	HF920637.1_00011, HF920637.1_00180		KF938901.1_00112			LS484712.1_00211																														
N38.HOG0000045	OG0000154	n0	AF303741.1_00182								HF920633.1_00096, HF920633.1_00114	HF920637.1_00162, HF920637.1_00071		KF938901.1_00153, KF938901.1_00066																																	
N38.HOG0000046	OG0000155	n0	AF303741.1_00183								HF920633.1_00036	HF920637.1_00168		KF938901.1_00106																																	
N38.HOG0000047	OG0000156	n0	AF303741.1_00192								HF920633.1_00106	HF920637.1_00150		KF938901.1_00118																																	
N38.HOG0000048	OG0000158	n0									HF920633.1_00024			KF938901.1_00027																																	
N38.HOG0000049	OG0000160	n0										HF920637.1_00072																																			
N38.HOG0000050	OG0000162	n0															LS484712.1_00082, LS484712.1_00083, LS484712.1_00084, LS484712.1_00088, LS484712.1_00085, LS484712.1_00086, LS484712.1_00087																														
N38.HOG0000051	OG0000164	n0	AF303741.1_00009									HF920637.1_00013																																			
N38.HOG0000052	OG0000165	n0	AF303741.1_00147, AF303741.1_00049, AF303741.1_00078, AF303741.1_00083								HF920633.1_00030	HF920637.1_00116																																			
N38.HOG0000053	OG0000166	n0	AF303741.1_00056								HF920633.1_00134	HF920637.1_00056		KF938901.1_00102			LS484712.1_00116																														
N38.HOG0000054	OG0000167	n0	AF303741.1_00068, AF303741.1_00067								HF920633.1_00039	HF920637.1_00140		KF938901.1_00075			LS484712.1_00113																														
N38.HOG0000055	OG0000168	n0	AF303741.1_00076								HF920633.1_00105	HF920637.1_00095		KF938901.1_00117			LS484712.1_00140																														
N38.HOG0000056	OG0000169	n0	AF303741.1_00087								HF920633.1_00082	HF920637.1_00049		KF938901.1_00103			LS484712.1_00195																														
N38.HOG0000057	OG0000170	n0	AF303741.1_00091								HF920633.1_00169	HF920637.1_00120		KF938901.1_00128			LS484712.1_00212																														
N38.HOG0000058	OG0000171	n0	AF303741.1_00096								HF920633.1_00177	HF920637.1_00045		KF938901.1_00121			LS484712.1_00112																														
N38.HOG0000059	OG0000172	n0	AF303741.1_00105								HF920633.1_00144			KF938901.1_00101																																	
N38.HOG0000060	OG0000173	n0	AF303741.1_00117																																												
N38.HOG0000061	OG0000174	n0	AF303741.1_00179								HF920633.1_00046	HF920637.1_00067		KF938901.1_00150			LS484712.1_00184																														
N38.HOG0000062	OG0000175	n0	AF303741.1_00181								HF920633.1_00031, HF920633.1_00161	HF920637.1_00069		KF938901.1_00105, KF938901.1_00006																																	
N38.HOG0000063	OG0000176	n0									HF920633.1_00171			KF938901.1_00017																																	
N38.HOG0000064	OG0000178	n0									HF920633.1_00034			KF938901.1_00009																																	
N38.HOG0000065	OG0000183	n0															LS484712.1_00089, LS484712.1_00090, LS484712.1_00225, LS484712.1_00268, LS484712.1_00269, LS484712.1_00270																														
N38.HOG0000066	OG0000184	n0	AF303741.1_00141, AF303741.1_00142, AF303741.1_00001									HF920637.1_00122, HF920637.1_00062																																			
N38.HOG0000067	OG0000185	n0	AF303741.1_00003								HF920633.1_00128	HF920637.1_00020		KF938901.1_00116																																	
N38.HOG0000068	OG0000186	n0	AF303741.1_00004								HF920633.1_00110	HF920637.1_00139		KF938901.1_00133																																	
N38.HOG0000069	OG0000187	n0	AF303741.1_00015								HF920633.1_00149	HF920637.1_00100		KF938901.1_00141																																	
N38.HOG0000070	OG0000188	n0	AF303741.1_00017								HF920633.1_00165	HF920637.1_00212		KF938901.1_00014																																	
N38.HOG0000071	OG0000189	n0	AF303741.1_00085								HF920633.1_00103	HF920637.1_00047		KF938901.1_00100																																	
N38.HOG0000072	OG0000190	n0	AF303741.1_00086								HF920633.1_00020, HF920633.1_00021	HF920637.1_00048		KF938901.1_00099																																	
N38.HOG0000073	OG0000191	n0	AF303741.1_00104								HF920633.1_00032			KF938901.1_00073																																	
N38.HOG0000074	OG0000192	n0	AF303741.1_00112								HF920633.1_00022	HF920637.1_00085		KF938901.1_00152																																	
N38.HOG0000075	OG0000193	n0	AF303741.1_00122								HF920633.1_00131	HF920637.1_00019		KF938901.1_00063			LS484712.1_00196																														
N38.HOG0000076	OG0000194	n0	AF303741.1_00136								HF920633.1_00120	HF920637.1_00193		KF938901.1_00134																																	
N38.HOG0000077	OG0000195	n0	AF303741.1_00146								HF920633.1_00146	HF920637.1_00043		KF938901.1_00139			LS484712.1_00224																														
N38.HOG0000078	OG0000196	n0	AF303741.1_00148								HF920633.1_00056	HF920637.1_00160		KF938901.1_00070																																	
N38.HOG0000079	OG0000197	n0	AF303741.1_00150								HF920633.1_00123	HF920637.1_00192		KF938901.1_00146																																	
