Orthogroup	MN803438	HF920637
OG0000000	MN803438.1_00124 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	MN803438.1_00101 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	MN803438.1_00113 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	MN803438.1_00106 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	MN803438.1_00109 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	MN803438.1_00089 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	MN803438.1_00023 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	MN803438.1_00128 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	MN803438.1_00068 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	MN803438.1_00035 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000010	MN803438.1_00013 hypothetical protein	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	MN803438.1_00007 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000012	MN803438.1_00049 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000013	MN803438.1_00097 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	MN803438.1_00027 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	MN803438.1_00051 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000016	MN803438.1_00070 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000017	MN803438.1_00046 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000018	MN803438.1_00024 hypothetical protein	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	MN803438.1_00142 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	MN803438.1_00122 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	MN803438.1_00071 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	MN803438.1_00104 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000023	MN803438.1_00077 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000126	MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000132	MN803438.1_00115 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000134	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000135	MN803438.1_00137 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000136	MN803438.1_00005 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
OG0000141	MN803438.1_00006 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000148	MN803438.1_00135 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000155	MN803438.1_00078 hypothetical protein	HF920637.1_00072 HF920637.1 - hypothetical protein translation
OG0000200	MN803438.1_00045 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation
