Orthogroup	Chlor_IIV22_HF920633.1	Irido_IIV31_HF920637.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Chlor_IIV22_HF920633.1_00073	Irido_IIV31_HF920637.1_00143
OG0000002	Chlor_IIV22_HF920633.1_00069	Irido_IIV31_HF920637.1_00059
OG0000003	Chlor_IIV22_HF920633.1_00127	Irido_IIV31_HF920637.1_00159
OG0000004	Chlor_IIV22_HF920633.1_00079	Irido_IIV31_HF920637.1_00025
OG0000005	Chlor_IIV22_HF920633.1_00091	Irido_IIV31_HF920637.1_00172
OG0000006	Chlor_IIV22_HF920633.1_00043	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Chlor_IIV22_HF920633.1_00025	Irido_IIV31_HF920637.1_00121
OG0000008	Chlor_IIV22_HF920633.1_00122	Irido_IIV31_HF920637.1_00153
OG0000009	Chlor_IIV22_HF920633.1_00085	Irido_IIV31_HF920637.1_00221
OG0000011	Chlor_IIV22_HF920633.1_00163	Irido_IIV31_HF920637.1_00197
OG0000012	Chlor_IIV22_HF920633.1_00175	Irido_IIV31_HF920637.1_00213
OG0000013	Chlor_IIV22_HF920633.1_00003	Irido_IIV31_HF920637.1_00111
OG0000014	Chlor_IIV22_HF920633.1_00094	Irido_IIV31_HF920637.1_00079
OG0000015	Chlor_IIV22_HF920633.1_00080	Irido_IIV31_HF920637.1_00031
OG0000016	Chlor_IIV22_HF920633.1_00001	Irido_IIV31_HF920637.1_00001
OG0000017	Chlor_IIV22_HF920633.1_00067	Irido_IIV31_HF920637.1_00017
OG0000018	Chlor_IIV22_HF920633.1_00138	Irido_IIV31_HF920637.1_00108
OG0000019	Chlor_IIV22_HF920633.1_00118	Irido_IIV31_HF920637.1_00217
OG0000020	Chlor_IIV22_HF920633.1_00058	Irido_IIV31_HF920637.1_00152
OG0000021	Chlor_IIV22_HF920633.1_00158	Irido_IIV31_HF920637.1_00073
OG0000022	Chlor_IIV22_HF920633.1_00097	Irido_IIV31_HF920637.1_00041
OG0000023	Chlor_IIV22_HF920633.1_00017	Irido_IIV31_HF920637.1_00033
OG0000024	Chlor_IIV22_HF920633.1_00062	Irido_IIV31_HF920637.1_00061
OG0000025	Chlor_IIV22_HF920633.1_00047	Irido_IIV31_HF920637.1_00156
