	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677
Number of genes	121	121	121	116	121	115	118	122	120	118	119	120	121	120	122	120	118	119	119	116	122	120	119	120	121	121	118	120	121	120	120	122	120	120	120	120	121	122	121	122	117	119	119	120	121	120	117	121	121	121	118	121	117	120	120	118
Number of genes in orthogroups	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	119	118	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	122	117	119	119	120	120	120	117	121	120	117	118	120	117	120	120	118
Number of unassigned genes	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	4	0	1	0	0	0	0
Percentage of genes in orthogroups	100.0	100.0	100.0	100.0	100.0	98.3	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	99.2	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.2	100.0	100.0	100.0	99.2	96.7	100.0	99.2	100.0	100.0	100.0	100.0
Percentage of unassigned genes	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.8	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.8	3.3	0.0	0.8	0.0	0.0	0.0	0.0
Number of orthogroups containing species	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	119	118	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	121	117	119	119	120	120	120	117	121	120	117	118	120	117	120	120	118
Percentage of orthogroups containing species	94.5	94.5	94.5	90.6	94.5	88.3	92.2	94.5	93.8	91.4	93.0	93.8	94.5	93.8	95.3	93.8	92.2	93.0	92.2	90.6	94.5	93.8	93.0	93.0	94.5	93.8	92.2	93.0	93.8	93.8	93.8	94.5	93.8	93.8	93.0	93.8	93.8	95.3	94.5	94.5	91.4	93.0	93.0	93.8	93.8	93.8	91.4	94.5	93.8	91.4	92.2	93.8	91.4	93.8	93.8	92.2
Number of species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Number of genes in species-specific orthogroups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	7	7	7	12	7	15	10	7	8	11	9	8	7	8	6	8	10	9	10	12	7	8	9	9	7	8	10	9	8	8	8	7	8	8	9	8	8	6	7	7	11	9	9	8	8	8	11	7	8	11	10	8	11	8	8	10
'1	121	121	121	116	121	113	118	121	120	117	119	120	121	120	122	120	118	119	118	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	121	120	117	119	119	120	120	120	117	121	120	117	118	120	117	120	120	118
'2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
