Orthogroup	MN562489.1	AF303741.1
OG0000000	MN562489.1_00102	AF303741.1_00079, AF303741.1_00152
OG0000001	MN562489.1_00081	AF303741.1_00200, AF303741.1_00047
OG0000002	MN562489.1_00080	AF303741.1_00125
OG0000003	MN562489.1_00087	AF303741.1_00035
OG0000004	MN562489.1_00060	AF303741.1_00080
OG0000005	MN562489.1_00056	AF303741.1_00129
OG0000006	MN562489.1_00116	AF303741.1_00132
OG0000007	MN562489.1_00052	AF303741.1_00149
OG0000008	MN562489.1_00099	AF303741.1_00165
OG0000009	MN562489.1_00059	AF303741.1_00176
OG0000011	MN562489.1_00128	AF303741.1_00006
OG0000012	MN562489.1_00096	AF303741.1_00011
OG0000013	MN562489.1_00038	AF303741.1_00023
OG0000014	MN562489.1_00058	AF303741.1_00026
OG0000015	MN562489.1_00133	AF303741.1_00046
OG0000016	MN562489.1_00047	AF303741.1_00062
OG0000017	MN562489.1_00011	AF303741.1_00063
OG0000018	MN562489.1_00063	AF303741.1_00081
OG0000019	MN562489.1_00046	AF303741.1_00137
OG0000020	MN562489.1_00012	AF303741.1_00156
OG0000021	MN562489.1_00124	AF303741.1_00158
OG0000022	MN562489.1_00008	AF303741.1_00189
OG0000023	MN562489.1_00023	AF303741.1_00154
OG0000024	MN562489.1_00073	AF303741.1_00168
OG0000025	MN562489.1_00113	AF303741.1_00051
OG0000139	MN562489.1_00069	AF303741.1_00101
OG0000164	MN562489.1_00115	AF303741.1_00009
OG0000173	MN562489.1_00114	AF303741.1_00117
