Orthogroup	Decap_MF599468.1	Rana_FV3_NC_005946.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Rana_FV3_NC_005946.1_00010
OG0000001	Decap_MF599468.1_00152	Rana_FV3_NC_005946.1_00091
OG0000002	Decap_MF599468.1_00163	Rana_FV3_NC_005946.1_00053
OG0000003	Decap_MF599468.1_00011	Rana_FV3_NC_005946.1_00057
OG0000004	Decap_MF599468.1_00092	Rana_FV3_NC_005946.1_00028
OG0000005	Decap_MF599468.1_00174	Rana_FV3_NC_005946.1_00002
OG0000006	Decap_MF599468.1_00030	Rana_FV3_NC_005946.1_00095
OG0000007	Decap_MF599468.1_00010	Rana_FV3_NC_005946.1_00042
OG0000008	Decap_MF599468.1_00075	Rana_FV3_NC_005946.1_00092
OG0000009	Decap_MF599468.1_00154	Rana_FV3_NC_005946.1_00014
OG0000011	Decap_MF599468.1_00106	Rana_FV3_NC_005946.1_00094
OG0000012	Decap_MF599468.1_00071	Rana_FV3_NC_005946.1_00061
OG0000013	Decap_MF599468.1_00117	Rana_FV3_NC_005946.1_00023
OG0000014	Decap_MF599468.1_00046	Rana_FV3_NC_005946.1_00082
OG0000015	Decap_MF599468.1_00090	Rana_FV3_NC_005946.1_00083
OG0000016	Decap_MF599468.1_00112	Rana_FV3_NC_005946.1_00060
OG0000017	Decap_MF599468.1_00033	Rana_FV3_NC_005946.1_00022
OG0000018	Decap_MF599468.1_00122	Rana_FV3_NC_005946.1_00016
OG0000019	Decap_MF599468.1_00149	Rana_FV3_NC_005946.1_00011
OG0000020	Decap_MF599468.1_00009	Rana_FV3_NC_005946.1_00021
OG0000021	Decap_MF599468.1_00035	Rana_FV3_NC_005946.1_00087
OG0000022	Decap_MF599468.1_00116	Rana_FV3_NC_005946.1_00038
OG0000023	Decap_MF599468.1_00171	Rana_FV3_NC_005946.1_00089
OG0000026	Decap_MF599468.1_00039	Rana_FV3_NC_005946.1_00086
OG0000113	Decap_MF599468.1_00096	Rana_FV3_NC_005946.1_00020
OG0000133	Decap_MF599468.1_00027	Rana_FV3_NC_005946.1_00079
OG0000134	Decap_MF599468.1_00002	Rana_FV3_NC_005946.1_00001
OG0000148	Decap_MF599468.1_00161	Rana_FV3_NC_005946.1_00054
OG0000152	Decap_MF599468.1_00060	Rana_FV3_NC_005946.1_00044
OG0000156	Decap_MF599468.1_00142	Rana_FV3_NC_005946.1_00063
OG0000160	Decap_MF599468.1_00156, Decap_MF599468.1_00066	Rana_FV3_NC_005946.1_00075
OG0000168	Decap_MF599468.1_00081	Rana_FV3_NC_005946.1_00004
OG0000177	Decap_MF599468.1_00089, Decap_MF599468.1_00108	Rana_FV3_NC_005946.1_00033
OG0000205	Decap_MF599468.1_00006	Rana_FV3_NC_005946.1_00062
