Orthogroup	KF938901	OQ475017
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	KF938901.1_00080 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	KF938901.1_00005 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	KF938901.1_00067 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	KF938901.1_00124 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000005	KF938901.1_00044 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000006	KF938901.1_00054 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	KF938901.1_00047 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000008	KF938901.1_00123 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000009	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	KF938901.1_00060 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000011	KF938901.1_00092 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000012	KF938901.1_00012 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000013	KF938901.1_00053 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000014	KF938901.1_00025 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000015	KF938901.1_00074 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000016	KF938901.1_00095 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000017	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	KF938901.1_00072 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000019	KF938901.1_00046 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000020	KF938901.1_00125 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000021	KF938901.1_00043 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000023	KF938901.1_00114 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000024	KF938901.1_00093 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
