Orthogroup	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
OG0000000	Rana_FV3_NC_005946.1_00010	Rana_SGIV_AY521625.1_00091
OG0000001	Rana_FV3_NC_005946.1_00091	Rana_SGIV_AY521625.1_00064
OG0000002	Rana_FV3_NC_005946.1_00053	Rana_SGIV_AY521625.1_00077
OG0000003	Rana_FV3_NC_005946.1_00057	Rana_SGIV_AY521625.1_00130
OG0000004	Rana_FV3_NC_005946.1_00028	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Rana_FV3_NC_005946.1_00002	Rana_SGIV_AY521625.1_00016
OG0000006	Rana_FV3_NC_005946.1_00095	Rana_SGIV_AY521625.1_00085
OG0000007	Rana_FV3_NC_005946.1_00042	Rana_SGIV_AY521625.1_00051
OG0000008	Rana_FV3_NC_005946.1_00092	Rana_SGIV_AY521625.1_00142
OG0000009	Rana_FV3_NC_005946.1_00014	Rana_SGIV_AY521625.1_00100
OG0000011	Rana_FV3_NC_005946.1_00094	Rana_SGIV_AY521625.1_00086
OG0000012	Rana_FV3_NC_005946.1_00061	Rana_SGIV_AY521625.1_00065
OG0000013	Rana_FV3_NC_005946.1_00023	Rana_SGIV_AY521625.1_00047
OG0000014	Rana_FV3_NC_005946.1_00082	Rana_SGIV_AY521625.1_00073
OG0000015	Rana_FV3_NC_005946.1_00083	Rana_SGIV_AY521625.1_00074
OG0000016	Rana_FV3_NC_005946.1_00060	Rana_SGIV_AY521625.1_00110
OG0000017	Rana_FV3_NC_005946.1_00022	Rana_SGIV_AY521625.1_00048
OG0000018	Rana_FV3_NC_005946.1_00016	Rana_SGIV_AY521625.1_00115
OG0000019	Rana_FV3_NC_005946.1_00011	Rana_SGIV_AY521625.1_00053
OG0000020	Rana_FV3_NC_005946.1_00021	Rana_SGIV_AY521625.1_00035
OG0000021	Rana_FV3_NC_005946.1_00087	Rana_SGIV_AY521625.1_00059
OG0000022	Rana_FV3_NC_005946.1_00038	Rana_SGIV_AY521625.1_00054
OG0000023	Rana_FV3_NC_005946.1_00089	Rana_SGIV_AY521625.1_00062
