Orthogroup	KT804738.1	MK689686.1
OG0000000	KT804738.1_00029	MK689686.1_00029
OG0000001	KT804738.1_00008	MK689686.1_00008
OG0000002	KT804738.1_00007	MK689686.1_00007
OG0000003	KT804738.1_00015	MK689686.1_00014
OG0000004	KT804738.1_00109	MK689686.1_00110
OG0000005	KT804738.1_00092	MK689686.1_00093
OG0000006	KT804738.1_00072	MK689686.1_00074
OG0000007	KT804738.1_00086	MK689686.1_00088
OG0000008	KT804738.1_00028	MK689686.1_00028
OG0000009	KT804738.1_00111	MK689686.1_00112
OG0000010	KT804738.1_00073	MK689686.1_00075
OG0000011	KT804738.1_00060	MK689686.1_00062
OG0000012	KT804738.1_00021	MK689686.1_00021
OG0000013	KT804738.1_00055	MK689686.1_00056
OG0000014	KT804738.1_00119	MK689686.1_00120
OG0000015	KT804738.1_00120	MK689686.1_00121
OG0000016	KT804738.1_00083	MK689686.1_00085
OG0000017	KT804738.1_00032	MK689686.1_00032
OG0000018	KT804738.1_00104	MK689686.1_00105
OG0000019	KT804738.1_00082	MK689686.1_00084
OG0000020	KT804738.1_00030	MK689686.1_00030
OG0000021	KT804738.1_00005	MK689686.1_00005
OG0000022	KT804738.1_00034	MK689686.1_00034
OG0000023	KT804738.1_00043	MK689686.1_00043
OG0000024	KT804738.1_00025	MK689686.1_00025
OG0000025	KT804738.1_00061	MK689686.1_00063
OG0000026	KT804738.1_00107	MK689686.1_00108
OG0000027	KT804738.1_00084	MK689686.1_00086
OG0000028	KT804738.1_00046	MK689686.1_00046
OG0000029	KT804738.1_00058	MK689686.1_00060
OG0000030	KT804738.1_00001	MK689686.1_00001
OG0000031	KT804738.1_00006	MK689686.1_00006
OG0000032	KT804738.1_00077	MK689686.1_00079
OG0000033	KT804738.1_00085	MK689686.1_00087
OG0000034	KT804738.1_00121	MK689686.1_00122
OG0000035	KT804738.1_00013	MK689686.1_00012
OG0000036	KT804738.1_00014	MK689686.1_00013
OG0000037	KT804738.1_00019	MK689686.1_00018
OG0000038	KT804738.1_00020	MK689686.1_00019
OG0000039	KT804738.1_00022	MK689686.1_00022
OG0000040	KT804738.1_00023	MK689686.1_00023
OG0000041	KT804738.1_00031	MK689686.1_00031
OG0000042	KT804738.1_00035	MK689686.1_00035
OG0000043	KT804738.1_00047	MK689686.1_00048
OG0000044	KT804738.1_00048	MK689686.1_00049
OG0000045	KT804738.1_00053	MK689686.1_00054
OG0000046	KT804738.1_00054	MK689686.1_00055
OG0000048	KT804738.1_00056	MK689686.1_00058
OG0000049	KT804738.1_00057	MK689686.1_00059
OG0000050	KT804738.1_00074	MK689686.1_00076
OG0000051	KT804738.1_00078	MK689686.1_00080
OG0000052	KT804738.1_00079	MK689686.1_00081
OG0000053	KT804738.1_00091	MK689686.1_00092
OG0000054	KT804738.1_00093	MK689686.1_00094
OG0000055	KT804738.1_00096	MK689686.1_00097
OG0000056	KT804738.1_00108	MK689686.1_00109
OG0000057	KT804738.1_00113	MK689686.1_00114
OG0000058	KT804738.1_00115	MK689686.1_00116
OG0000059	KT804738.1_00002	MK689686.1_00002
OG0000060	KT804738.1_00010	MK689686.1_00010
OG0000061	KT804738.1_00018	MK689686.1_00017
OG0000062	KT804738.1_00087	MK689686.1_00089
OG0000063	KT804738.1_00069	MK689686.1_00071
OG0000064	KT804738.1_00017	MK689686.1_00016
OG0000065	KT804738.1_00037	MK689686.1_00037
OG0000066	KT804738.1_00041	MK689686.1_00041
OG0000067	KT804738.1_00045	MK689686.1_00045
OG0000068	KT804738.1_00064	MK689686.1_00066
OG0000069	KT804738.1_00095	MK689686.1_00096
OG0000070	KT804738.1_00097	MK689686.1_00098
OG0000071	KT804738.1_00112	MK689686.1_00113
OG0000072	KT804738.1_00009	MK689686.1_00009
OG0000073	KT804738.1_00011	MK689686.1_00011
OG0000074	KT804738.1_00016	MK689686.1_00015
OG0000075	KT804738.1_00033	MK689686.1_00033
OG0000076	KT804738.1_00036	MK689686.1_00036
