Orthogroup	ON743042	MF599468
OG0000000	MK689686.1_00029 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	MK689686.1_00008 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	MK689686.1_00014 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	MK689686.1_00028 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	MK689686.1_00112 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	MK689686.1_00005 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	MK689686.1_00007 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	MK689686.1_00021 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	MK689686.1_00030 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	MK689686.1_00032 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000010	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	MK689686.1_00056 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000012	MK689686.1_00062 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000013	MK689686.1_00084 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	MK689686.1_00088 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	MK689686.1_00105 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000016	MK689686.1_00120 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000017	MK689686.1_00121 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000019	MK689686.1_00074 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	MK689686.1_00085 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	MK689686.1_00093 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	MK689686.1_00110 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000029	MK689686.1_00057 hypothetical protein	MF599468.1_00013 MF599468.1 - hypothetical protein translation
OG0000063	MK689686.1_00096 hypothetical protein	MF599468.1_00131 MF599468.1 - hypothetical protein translation
