Orthogroup	OM037668.1	OK042109.1
OG0000000	OM037668.1_00035	OK042109.1_00047
OG0000001	OM037668.1_00057	OK042109.1_00069
OG0000002	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	OK042109.1_00123
OG0000003	OM037668.1_00056	OK042109.1_00068
OG0000004	OM037668.1_00050	OK042109.1_00061
OG0000005	OM037668.1_00038	OK042109.1_00048
OG0000006	OM037668.1_00021	OK042109.1_00001
OG0000007	OM037668.1_00084	OK042109.1_00110
OG0000008	OM037668.1_00076	OK042109.1_00088
OG0000009	OM037668.1_00077	OK042109.1_00086
OG0000010	OM037668.1_00013	OK042109.1_00071
OG0000011	OM037668.1_00041	OK042109.1_00054
OG0000012	OM037668.1_00123	OK042109.1_00046
OG0000013	OM037668.1_00124	OK042109.1_00044
OG0000014	OM037668.1_00127	OK042109.1_00042
OG0000015	OM037668.1_00098	OK042109.1_00020
OG0000016	OM037668.1_00009	OK042109.1_00013
OG0000017	OM037668.1_00090	OK042109.1_00114
OG0000018	OM037668.1_00089	OK042109.1_00113
OG0000019	OM037668.1_00073	OK042109.1_00093
OG0000020	OM037668.1_00078	OK042109.1_00078
OG0000021	OM037668.1_00004	OK042109.1_00077
OG0000022	OM037668.1_00113	OK042109.1_00033
OG0000023	OM037668.1_00080	OK042109.1_00105
OG0000024	OM037668.1_00074	OK042109.1_00090
OG0000026	OM037668.1_00087	OK042109.1_00112
OG0000027	OM037668.1_00110	OK042109.1_00030
OG0000028	OM037668.1_00011	OK042109.1_00070
OG0000029	OM037668.1_00095	OK042109.1_00015
OG0000030	OM037668.1_00030	OK042109.1_00075
OG0000031	OM037668.1_00019	OK042109.1_00119
OG0000032	OM037668.1_00086	OK042109.1_00111
OG0000033	OM037668.1_00028	OK042109.1_00076
OG0000034	OM037668.1_00051	OK042109.1_00063
OG0000035	OM037668.1_00005	OK042109.1_00062
OG0000036	OM037668.1_00046	OK042109.1_00057
OG0000037	OM037668.1_00045	OK042109.1_00056
OG0000038	OM037668.1_00040	OK042109.1_00053
OG0000039	OM037668.1_00048	OK042109.1_00052
OG0000040	OM037668.1_00003	OK042109.1_00045
OG0000041	OM037668.1_00122	OK042109.1_00041
OG0000042	OM037668.1_00106	OK042109.1_00028
OG0000043	OM037668.1_00105	OK042109.1_00027
OG0000044	OM037668.1_00100	OK042109.1_00022
OG0000045	OM037668.1_00099	OK042109.1_00021
OG0000046	OM037668.1_00097	OK042109.1_00019
OG0000047	OM037668.1_00085	OK042109.1_00017
OG0000048	OM037668.1_00096	OK042109.1_00016
OG0000049	OM037668.1_00020	OK042109.1_00122
OG0000050	OM037668.1_00018	OK042109.1_00118
OG0000051	OM037668.1_00130	OK042109.1_00117
OG0000052	OM037668.1_00081	OK042109.1_00106
OG0000053	OM037668.1_00032	OK042109.1_00104
OG0000054	OM037668.1_00033	OK042109.1_00101
OG0000055	OM037668.1_00075	OK042109.1_00089
OG0000056	OM037668.1_00079	OK042109.1_00084
OG0000057	OM037668.1_00134	OK042109.1_00082
OG0000058	OM037668.1_00031	OK042109.1_00074
OG0000059	OM037668.1_00054	OK042109.1_00066
OG0000060	OM037668.1_00047	OK042109.1_00058
OG0000061	OM037668.1_00083	OK042109.1_00109
OG0000062	OM037668.1_00064	OK042109.1_00051
OG0000096	OM037668.1_00091	OK042109.1_00080
OG0000113	OM037668.1_00042	OK042109.1_00055
OG0000114	OM037668.1_00053	OK042109.1_00065
OG0000115	OM037668.1_00101	OK042109.1_00023
OG0000117	OM037668.1_00082	OK042109.1_00108
