Orthogroup	OP009387.1	MN803438.1
OG0000000	OP009387.1_00030	MN803438.1_00124
OG0000001	OP009387.1_00007	MN803438.1_00023
OG0000003	OP009387.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	OP009387.1_00015	MN803438.1_00113
OG0000005	OP009387.1_00029	MN803438.1_00106
OG0000006	OP009387.1_00077	MN803438.1_00142
OG0000007	OP009387.1_00091	MN803438.1_00027
OG0000008	OP009387.1_00112	MN803438.1_00104
OG0000009	OP009387.1_00113	MN803438.1_00109
OG0000010	OP009387.1_00005	MN803438.1_00089
OG0000011	OP009387.1_00023	MN803438.1_00128
OG0000012	OP009387.1_00031	MN803438.1_00068
OG0000013	OP009387.1_00033	MN803438.1_00035
OG0000014	OP009387.1_00035	MN803438.1_00013
OG0000015	OP009387.1_00057	MN803438.1_00007
OG0000016	OP009387.1_00064	MN803438.1_00049
OG0000017	OP009387.1_00087	MN803438.1_00097
OG0000018	OP009387.1_00088	MN803438.1_00122
OG0000019	OP009387.1_00107	MN803438.1_00051
OG0000020	OP009387.1_00121	MN803438.1_00070
OG0000021	OP009387.1_00122	MN803438.1_00046
OG0000022	OP009387.1_00044	MN803438.1_00077
OG0000023	OP009387.1_00095	MN803438.1_00071
OG0000024	OP009387.1_00110	MN803438.1_00126
OG0000026	OP009387.1_00089	MN803438.1_00037
OG0000027	OP009387.1_00047	MN803438.1_00054
OG0000028	OP009387.1_00006	MN803438.1_00145
OG0000129	OP009387.1_00073	MN803438.1_00082
