Orthogroup	OL310752.1	L63545.1
OG0000000	OL310752.1_00108, OL310752.1_00113	L63545.1_00007
OG0000001	OL310752.1_00019	L63545.1_00079
OG0000003	OL310752.1_00018	L63545.1_00035
OG0000004	OL310752.1_00012	L63545.1_00076
OG0000005	OL310752.1_00107	L63545.1_00108
OG0000006	OL310752.1_00078	L63545.1_00093
OG0000007	OL310752.1_00042	L63545.1_00090
OG0000008	OL310752.1_00060	L63545.1_00001
OG0000009	OL310752.1_00116	L63545.1_00024
OG0000010	OL310752.1_00021	L63545.1_00043
OG0000011	OL310752.1_00004	L63545.1_00071
OG0000012	OL310752.1_00114	L63545.1_00098
OG0000013	OL310752.1_00085	L63545.1_00072
OG0000014	OL310752.1_00083	L63545.1_00013
OG0000015	OL310752.1_00096	L63545.1_00004
OG0000016	OL310752.1_00027	L63545.1_00069
OG0000017	OL310752.1_00046	L63545.1_00009
OG0000018	OL310752.1_00045	L63545.1_00073
OG0000019	OL310752.1_00065	L63545.1_00068
OG0000020	OL310752.1_00071	L63545.1_00030
OG0000021	OL310752.1_00072	L63545.1_00110
OG0000022	OL310752.1_00052	L63545.1_00054
OG0000023	OL310752.1_00036	L63545.1_00056
OG0000024	OL310752.1_00062	L63545.1_00002
OG0000026	OL310752.1_00044	L63545.1_00058
OG0000027	OL310752.1_00087	L63545.1_00003
