Orthogroup	KF938901	AY521625
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	KF938901.1_00080 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	KF938901.1_00005 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	KF938901.1_00067 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	KF938901.1_00124 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000005	KF938901.1_00044 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000006	KF938901.1_00054 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000007	KF938901.1_00047 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000008	KF938901.1_00123 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000009	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	KF938901.1_00060 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	KF938901.1_00092 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	KF938901.1_00012 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	KF938901.1_00053 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	KF938901.1_00025 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	KF938901.1_00074 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	KF938901.1_00095 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	KF938901.1_00072 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000019	KF938901.1_00046 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000020	KF938901.1_00125 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000021	KF938901.1_00043 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000132	KF938901.1_00086 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000134	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000140	KF938901.1_00069 hypothetical protein	AY521625.1_00133 AY521625.1 - hypothetical protein translation
OG0000149	KF938901.1_00118 Deoxyuridine	AY521625.1_00044 AY521625.1 - Deoxyuridine
OG0000152	KF938901.1_00027 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000165	KF938901.1_00101 hypothetical protein	AY521625.1_00014 AY521625.1 - hypothetical protein translation
OG0000170	KF938901.1_00017 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000172	KF938901.1_00009 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
