Orthogroup	KX643370	NC_005946
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000126	Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein, Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein	NC_005946.1_00020 hypothetical protein
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000134	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000150	Lymph_LDV3_KX643370_00047 hypothetical protein	NC_005946.1_00052 hypothetical protein
OG0000152	Lymph_LDV3_KX643370_00149 hypothetical protein	NC_005946.1_00044 hypothetical protein
OG0000155	Lymph_LDV3_KX643370_00090 hypothetical protein	NC_005946.1_00075 hypothetical protein
OG0000170	Lymph_LDV3_KX643370_00060 hypothetical protein	NC_005946.1_00026 hypothetical protein
OG0000171	Lymph_LDV3_KX643370_00059 hypothetical protein	NC_005946.1_00033 hypothetical protein
OG0000172	Lymph_LDV3_KX643370_00080 hypothetical protein	NC_005946.1_00029 hypothetical protein
OG0000197	Lymph_LDV3_KX643370_00021 hypothetical protein	NC_005946.1_00062 hypothetical protein
OG0000220	Lymph_LDV3_KX643370_00106 hypothetical protein	NC_005946.1_00051 hypothetical protein
OG0000222	Lymph_LDV3_KX643370_00046 hypothetical protein	NC_005946.1_00088 hypothetical protein
OG0000223	Lymph_LDV3_KX643370_00054 hypothetical protein	NC_005946.1_00096 hypothetical protein
OG0000224	Lymph_LDV3_KX643370_00146 hypothetical protein	NC_005946.1_00015 hypothetical protein
OG0000225	Lymph_LDV3_KX643370_00102 hypothetical protein	NC_005946.1_00073 hypothetical protein
OG0000243	Lymph_LDV3_KX643370_00037 hypothetical protein	NC_005946.1_00034 hypothetical protein
OG0000244	Lymph_LDV3_KX643370_00151 hypothetical protein	NC_005946.1_00064 hypothetical protein
