locus_tag	ftype	length_bp	gene	EC_number	COG	product
MK637631_00001	CDS	1125				hypothetical protein
MK637631_00002	CDS	312				hypothetical protein
MK637631_00003	CDS	1128				hypothetical protein
MK637631_00004	CDS	930				hypothetical protein
MK637631_00005	CDS	393				hypothetical protein
MK637631_00006	CDS	1494				hypothetical protein
MK637631_00007	CDS	576	TMK	2.7.4.9		Thymidylate kinase
MK637631_00008	CDS	471				hypothetical protein
MK637631_00009	CDS	708				hypothetical protein
MK637631_00010	CDS	774				hypothetical protein
MK637631_00011	CDS	438				hypothetical protein
MK637631_00012	CDS	543				hypothetical protein
MK637631_00013	CDS	378				hypothetical protein
MK637631_00014	CDS	288				hypothetical protein
MK637631_00015	CDS	1341				hypothetical protein
MK637631_00016	CDS	576				hypothetical protein
MK637631_00017	CDS	2940				hypothetical protein
MK637631_00018	CDS	252				hypothetical protein
MK637631_00019	CDS	240				hypothetical protein
MK637631_00020	CDS	300				hypothetical protein
MK637631_00021	CDS	630				hypothetical protein
MK637631_00022	CDS	348				hypothetical protein
MK637631_00023	CDS	801				hypothetical protein
MK637631_00024	CDS	3132	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
MK637631_00025	CDS	1572				hypothetical protein
MK637631_00026	CDS	1407				hypothetical protein
MK637631_00027	CDS	267				hypothetical protein
MK637631_00028	CDS	411				hypothetical protein
MK637631_00029	CDS	261				hypothetical protein
MK637631_00030	CDS	1530				hypothetical protein
MK637631_00031	CDS	327				hypothetical protein
MK637631_00032	CDS	1878				hypothetical protein
MK637631_00033	CDS	843				hypothetical protein
MK637631_00034	CDS	1014	SPI-1			Serine proteinase inhibitor 1
MK637631_00035	CDS	663				hypothetical protein
MK637631_00036	CDS	906				hypothetical protein
MK637631_00037	CDS	420				hypothetical protein
MK637631_00038	CDS	531				hypothetical protein
MK637631_00039	CDS	1671				hypothetical protein
MK637631_00040	CDS	627				hypothetical protein
MK637631_00041	CDS	1980				hypothetical protein
MK637631_00042	CDS	1674				hypothetical protein
MK637631_00043	CDS	234				hypothetical protein
MK637631_00044	CDS	1359	MCP			Major capsid protein
MK637631_00045	CDS	255				hypothetical protein
MK637631_00046	CDS	438				hypothetical protein
MK637631_00047	CDS	360				hypothetical protein
MK637631_00048	CDS	1422				hypothetical protein
MK637631_00049	CDS	534				hypothetical protein
MK637631_00050	CDS	1437				hypothetical protein
MK637631_00051	CDS	1392				hypothetical protein
MK637631_00052	CDS	282				hypothetical protein
MK637631_00053	CDS	555				hypothetical protein
MK637631_00054	CDS	282				hypothetical protein
MK637631_00055	CDS	975				hypothetical protein
MK637631_00056	CDS	1029				hypothetical protein
MK637631_00057	CDS	534				hypothetical protein
MK637631_00058	CDS	921				hypothetical protein
MK637631_00059	CDS	999		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
MK637631_00060	CDS	780				hypothetical protein
MK637631_00061	CDS	615				hypothetical protein
MK637631_00062	CDS	195				hypothetical protein
MK637631_00063	CDS	948	SPI-2			Serine proteinase inhibitor 2
MK637631_00064	CDS	1032				hypothetical protein
MK637631_00065	CDS	5628				hypothetical protein
MK637631_00066	CDS	2739				hypothetical protein
MK637631_00067	CDS	720				hypothetical protein
MK637631_00068	CDS	318				hypothetical protein
MK637631_00069	CDS	348				hypothetical protein
MK637631_00070	CDS	564				hypothetical protein
MK637631_00071	CDS	1389				hypothetical protein
MK637631_00072	CDS	1551				hypothetical protein
MK637631_00073	CDS	1110				hypothetical protein
MK637631_00074	CDS	357				hypothetical protein
MK637631_00075	CDS	1467				hypothetical protein
MK637631_00076	CDS	1554				hypothetical protein
MK637631_00077	CDS	696				hypothetical protein
MK637631_00078	CDS	207				hypothetical protein
MK637631_00079	CDS	372				hypothetical protein
MK637631_00080	CDS	396				hypothetical protein
MK637631_00081	CDS	249				hypothetical protein
MK637631_00082	CDS	405				hypothetical protein
MK637631_00083	CDS	207				hypothetical protein
MK637631_00084	CDS	915				hypothetical protein
MK637631_00085	CDS	846				hypothetical protein
MK637631_00086	CDS	618				hypothetical protein
MK637631_00087	CDS	282				hypothetical protein
MK637631_00088	CDS	852				hypothetical protein
MK637631_00089	CDS	792				hypothetical protein
MK637631_00090	CDS	2382				hypothetical protein
MK637631_00091	CDS	351				hypothetical protein
MK637631_00092	CDS	555				hypothetical protein
MK637631_00093	CDS	237	vUbi			viral Ubiquitin
MK637631_00094	CDS	2967				hypothetical protein
MK637631_00095	CDS	498				hypothetical protein
MK637631_00096	CDS	501				hypothetical protein
MK637631_00097	CDS	1182				hypothetical protein
MK637631_00098	CDS	1083				hypothetical protein
MK637631_00099	CDS	120				hypothetical protein
MK637631_00100	CDS	2775				hypothetical protein
MK637631_00101	CDS	747				hypothetical protein
MK637631_00102	CDS	1293				hypothetical protein
MK637631_00103	CDS	519				hypothetical protein
MK637631_00104	CDS	2631				hypothetical protein
MK637631_00105	CDS	1038				hypothetical protein
MK637631_00106	CDS	723				hypothetical protein
MK637631_00107	CDS	588				hypothetical protein
MK637631_00108	CDS	705				hypothetical protein
MK637631_00109	CDS	1431				hypothetical protein
MK637631_00110	CDS	819				hypothetical protein
MK637631_00111	CDS	1194				hypothetical protein
MK637631_00112	CDS	162				hypothetical protein
MK637631_00113	CDS	1428				hypothetical protein
MK637631_00114	CDS	912				hypothetical protein
MK637631_00115	CDS	3558				hypothetical protein
MK637631_00116	CDS	861				hypothetical protein
MK637631_00117	CDS	519				hypothetical protein
MK637631_00118	CDS	504				hypothetical protein
MK637631_00119	CDS	489				hypothetical protein
