Orthogroup	NC_005946	PQ335173_PQ335174
OG0000000	NC_005946.1_00010 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	NC_005946.1_00053 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	NC_005946.1_00057 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	NC_005946.1_00095 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	NC_005946.1_00092 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	NC_005946.1_00038 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	NC_005946.1_00091 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	NC_005946.1_00060 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	NC_005946.1_00083 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	NC_005946.1_00022 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	NC_005946.1_00011 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	NC_005946.1_00094 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	NC_005946.1_00002 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	NC_005946.1_00023 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	NC_005946.1_00016 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	NC_005946.1_00021 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	NC_005946.1_00067 hypothetical protein	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	NC_005946.1_00087 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	NC_005946.1_00042 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	NC_005946.1_00082 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	NC_005946.1_00014 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	NC_005946.1_00028 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	NC_005946.1_00089 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	NC_005946.1_00049 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	NC_005946.1_00086 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	NC_005946.1_00085 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
