Orthogroup	Daphi_LS484712.1	MCV_Unclassified_MG570132.1
OG0000000	Daphi_LS484712.1_00114	MCV_Unclassified_MG570132.1_00031
OG0000001	Daphi_LS484712.1_00142	MCV_Unclassified_MG570132.1_00008, MCV_Unclassified_MG570132.1_00007
OG0000002	Daphi_LS484712.1_00095	MCV_Unclassified_MG570132.1_00009
OG0000003	Daphi_LS484712.1_00187	MCV_Unclassified_MG570132.1_00016
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	MCV_Unclassified_MG570132.1_00087
OG0000006	Daphi_LS484712.1_00248	MCV_Unclassified_MG570132.1_00030
OG0000007	Daphi_LS484712.1_00040	MCV_Unclassified_MG570132.1_00073
OG0000008	Daphi_LS484712.1_00130	MCV_Unclassified_MG570132.1_00110
OG0000009	Daphi_LS484712.1_00256	MCV_Unclassified_MG570132.1_00092
OG0000011	Daphi_LS484712.1_00192	MCV_Unclassified_MG570132.1_00083
OG0000012	Daphi_LS484712.1_00194	MCV_Unclassified_MG570132.1_00036
OG0000013	Daphi_LS484712.1_00053	MCV_Unclassified_MG570132.1_00103
OG0000014	Daphi_LS484712.1_00048	MCV_Unclassified_MG570132.1_00084
OG0000015	Daphi_LS484712.1_00188	MCV_Unclassified_MG570132.1_00032
OG0000016	Daphi_LS484712.1_00200	MCV_Unclassified_MG570132.1_00023
OG0000017	Daphi_LS484712.1_00143	MCV_Unclassified_MG570132.1_00057
OG0000018	Daphi_LS484712.1_00202	MCV_Unclassified_MG570132.1_00118
OG0000019	Daphi_LS484712.1_00203	MCV_Unclassified_MG570132.1_00063
OG0000020	Daphi_LS484712.1_00135	MCV_Unclassified_MG570132.1_00119
OG0000021	Daphi_LS484712.1_00240	MCV_Unclassified_MG570132.1_00034
OG0000022	Daphi_LS484712.1_00096	MCV_Unclassified_MG570132.1_00005
OG0000023	Daphi_LS484712.1_00117	MCV_Unclassified_MG570132.1_00045
OG0000024	Daphi_LS484712.1_00149	MCV_Unclassified_MG570132.1_00028
OG0000064	Daphi_LS484712.1_00002	MCV_Unclassified_MG570132.1_00066
