locus_tag	ftype	length_bp	gene	EC_number	COG	product
OP009387_00001	CDS	1137				hypothetical protein
OP009387_00002	CDS	456				hypothetical protein
OP009387_00003	CDS	306				hypothetical protein
OP009387_00004	CDS	492				hypothetical protein
OP009387_00005	CDS	561				hypothetical protein
OP009387_00006	CDS	306				hypothetical protein
OP009387_00007	CDS	1362	MCP			Major capsid protein
OP009387_00008	CDS	1458				hypothetical protein
OP009387_00009	CDS	1578				hypothetical protein
OP009387_00010	CDS	219				hypothetical protein
OP009387_00011	CDS	243				hypothetical protein
OP009387_00012	CDS	393				hypothetical protein
OP009387_00013	CDS	261				hypothetical protein
OP009387_00014	CDS	333				hypothetical protein
OP009387_00015	CDS	1386				hypothetical protein
OP009387_00016	CDS	294				hypothetical protein
OP009387_00017	CDS	942				hypothetical protein
OP009387_00018	CDS	792				hypothetical protein
OP009387_00019	CDS	588				hypothetical protein
OP009387_00020	CDS	336				hypothetical protein
OP009387_00021	CDS	237				hypothetical protein
OP009387_00022	CDS	192				hypothetical protein
OP009387_00023	CDS	2847				hypothetical protein
OP009387_00024	CDS	540				hypothetical protein
OP009387_00025	CDS	1536				hypothetical protein
	CRISPR	204				
OP009387_00026	CDS	969		1.17.4.1		Ribonucleoside-diphosphate reductase small chain
OP009387_00027	CDS	873				hypothetical protein
OP009387_00028	CDS	324				hypothetical protein
OP009387_00029	CDS	897				hypothetical protein
OP009387_00030	CDS	3507				hypothetical protein
OP009387_00031	CDS	204				hypothetical protein
OP009387_00032	CDS	603				hypothetical protein
OP009387_00033	CDS	567				hypothetical protein
OP009387_00034	CDS	903				hypothetical protein
OP009387_00035	CDS	3135	RPO2	2.7.7.6		DNA-directed RNA polymerase subunit 2
OP009387_00036	CDS	1113				hypothetical protein
OP009387_00037	CDS	1026				hypothetical protein
OP009387_00038	CDS	1353				hypothetical protein
OP009387_00039	CDS	1437				hypothetical protein
OP009387_00040	CDS	873				hypothetical protein
OP009387_00041	CDS	1140				hypothetical protein
OP009387_00042	CDS	1293				hypothetical protein
OP009387_00043	CDS	594				hypothetical protein
OP009387_00044	CDS	363				hypothetical protein
OP009387_00045	CDS	801				hypothetical protein
OP009387_00046	CDS	915				hypothetical protein
OP009387_00047	CDS	684				hypothetical protein
OP009387_00048	CDS	249				hypothetical protein
OP009387_00049	CDS	210				hypothetical protein
OP009387_00050	CDS	339				hypothetical protein
OP009387_00051	CDS	171				hypothetical protein
OP009387_00052	CDS	429				hypothetical protein
OP009387_00053	CDS	441				hypothetical protein
OP009387_00054	CDS	192				hypothetical protein
OP009387_00055	CDS	927				hypothetical protein
OP009387_00056	CDS	930				hypothetical protein
OP009387_00057	CDS	648				hypothetical protein
OP009387_00058	CDS	261				hypothetical protein
OP009387_00059	CDS	291				hypothetical protein
OP009387_00060	CDS	597				hypothetical protein
OP009387_00061	CDS	807				hypothetical protein
OP009387_00062	CDS	3801				hypothetical protein
OP009387_00063	CDS	369				hypothetical protein
OP009387_00064	CDS	2649				hypothetical protein
OP009387_00065	CDS	1476				hypothetical protein
OP009387_00066	CDS	462				hypothetical protein
OP009387_00067	CDS	1044				hypothetical protein
OP009387_00068	CDS	582				hypothetical protein
OP009387_00069	CDS	1434				hypothetical protein
OP009387_00070	CDS	666				hypothetical protein
OP009387_00071	CDS	426				hypothetical protein
OP009387_00072	CDS	1611				hypothetical protein
OP009387_00073	CDS	1005				hypothetical protein
OP009387_00074	CDS	420				hypothetical protein
OP009387_00075	CDS	1014				hypothetical protein
OP009387_00076	CDS	267				hypothetical protein
OP009387_00077	CDS	2967				hypothetical protein
OP009387_00078	CDS	1335				hypothetical protein
OP009387_00079	CDS	465				hypothetical protein
OP009387_00080	CDS	270				hypothetical protein
OP009387_00081	CDS	477				hypothetical protein
OP009387_00082	CDS	498				hypothetical protein
OP009387_00083	CDS	1107				hypothetical protein
OP009387_00084	CDS	360				hypothetical protein
OP009387_00085	CDS	1356				hypothetical protein
OP009387_00086	CDS	582				hypothetical protein
OP009387_00087	CDS	465				hypothetical protein
OP009387_00088	CDS	771				hypothetical protein
OP009387_00089	CDS	423				hypothetical protein
OP009387_00090	CDS	1557				hypothetical protein
OP009387_00091	CDS	999				hypothetical protein
OP009387_00092	CDS	171				hypothetical protein
OP009387_00093	CDS	789				hypothetical protein
OP009387_00094	CDS	1161				hypothetical protein
OP009387_00095	CDS	753				hypothetical protein
OP009387_00096	CDS	456				hypothetical protein
OP009387_00097	CDS	324				hypothetical protein
OP009387_00098	CDS	546				hypothetical protein
OP009387_00099	CDS	516				hypothetical protein
OP009387_00100	CDS	1443				hypothetical protein
OP009387_00101	CDS	402				hypothetical protein
OP009387_00102	CDS	777				hypothetical protein
OP009387_00103	CDS	366				hypothetical protein
OP009387_00104	CDS	96				hypothetical protein
OP009387_00105	CDS	780				hypothetical protein
OP009387_00106	CDS	600				hypothetical protein
OP009387_00107	CDS	2766				hypothetical protein
OP009387_00108	CDS	156				hypothetical protein
OP009387_00109	CDS	684				hypothetical protein
OP009387_00110	CDS	744				hypothetical protein
OP009387_00111	CDS	504				hypothetical protein
OP009387_00112	CDS	2583				hypothetical protein
