Orthogroup	MK689686.1	AY521625.1
OG0000000	MK689686.1_00029	AY521625.1_00091
OG0000001	MK689686.1_00007	AY521625.1_00064
OG0000003	MK689686.1_00008	AY521625.1_00077
OG0000004	MK689686.1_00014	AY521625.1_00130
OG0000005	MK689686.1_00028	AY521625.1_00085
OG0000006	MK689686.1_00074	AY521625.1_00051
OG0000007	MK689686.1_00088	AY521625.1_00016
OG0000008	MK689686.1_00110	AY521625.1_00069, AY521625.1_00070
OG0000009	MK689686.1_00112	AY521625.1_00142
OG0000010	MK689686.1_00005	AY521625.1_00054
OG0000011	MK689686.1_00021	AY521625.1_00110
OG0000012	MK689686.1_00030	AY521625.1_00074
OG0000013	MK689686.1_00032	AY521625.1_00059
OG0000014	MK689686.1_00034	AY521625.1_00065
OG0000015	MK689686.1_00056	AY521625.1_00048
OG0000016	MK689686.1_00062	AY521625.1_00053
OG0000017	MK689686.1_00084	AY521625.1_00086
OG0000018	MK689686.1_00085	AY521625.1_00073
OG0000019	MK689686.1_00105	AY521625.1_00047
OG0000020	MK689686.1_00120	AY521625.1_00115
OG0000021	MK689686.1_00121	AY521625.1_00035
OG0000022	MK689686.1_00043	AY521625.1_00062
OG0000023	MK689686.1_00093	AY521625.1_00100
OG0000024	MK689686.1_00108	AY521625.1_00060
OG0000026	MK689686.1_00086	AY521625.1_00022
OG0000030	MK689686.1_00001	AY521625.1_00004
