Orthogroup	Chlor_AMIV_KF938901.1	Decap_MF599468.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Chlor_AMIV_KF938901.1_00044	Decap_MF599468.1_00152
OG0000002	Chlor_AMIV_KF938901.1_00080	Decap_MF599468.1_00163
OG0000003	Chlor_AMIV_KF938901.1_00005	Decap_MF599468.1_00011
OG0000004	Chlor_AMIV_KF938901.1_00043	Decap_MF599468.1_00092
OG0000005	Chlor_AMIV_KF938901.1_00053	Decap_MF599468.1_00174
OG0000006	Chlor_AMIV_KF938901.1_00067	Decap_MF599468.1_00030
OG0000007	Chlor_AMIV_KF938901.1_00072	Decap_MF599468.1_00010
OG0000008	Chlor_AMIV_KF938901.1_00114	Decap_MF599468.1_00075
OG0000009	Chlor_AMIV_KF938901.1_00125	Decap_MF599468.1_00154
OG0000011	Chlor_AMIV_KF938901.1_00012	Decap_MF599468.1_00106
OG0000012	Chlor_AMIV_KF938901.1_00023	Decap_MF599468.1_00071
OG0000013	Chlor_AMIV_KF938901.1_00025	Decap_MF599468.1_00117
OG0000014	Chlor_AMIV_KF938901.1_00046	Decap_MF599468.1_00046
OG0000015	Chlor_AMIV_KF938901.1_00047	Decap_MF599468.1_00090
OG0000016	Chlor_AMIV_KF938901.1_00054	Decap_MF599468.1_00112
OG0000017	Chlor_AMIV_KF938901.1_00060	Decap_MF599468.1_00033
OG0000018	Chlor_AMIV_KF938901.1_00074	Decap_MF599468.1_00122
OG0000019	Chlor_AMIV_KF938901.1_00092	Decap_MF599468.1_00149
OG0000020	Chlor_AMIV_KF938901.1_00095	Decap_MF599468.1_00009
OG0000021	Chlor_AMIV_KF938901.1_00123	Decap_MF599468.1_00035
OG0000022	Chlor_AMIV_KF938901.1_00124	Decap_MF599468.1_00116
OG0000023	Chlor_AMIV_KF938901.1_00031	Decap_MF599468.1_00171
OG0000113	Chlor_AMIV_KF938901.1_00104	Decap_MF599468.1_00045
OG0000133	Chlor_AMIV_KF938901.1_00007	Decap_MF599468.1_00027
OG0000134	Chlor_AMIV_KF938901.1_00086	Decap_MF599468.1_00002
OG0000138	Chlor_AMIV_KF938901.1_00065	Decap_MF599468.1_00051
OG0000148	Chlor_AMIV_KF938901.1_00069	Decap_MF599468.1_00161
OG0000152	Chlor_AMIV_KF938901.1_00027	Decap_MF599468.1_00060
OG0000154	Chlor_AMIV_KF938901.1_00106	Decap_MF599468.1_00074
OG0000156	Chlor_AMIV_KF938901.1_00118	Decap_MF599468.1_00142
OG0000168	Chlor_AMIV_KF938901.1_00101	Decap_MF599468.1_00081
OG0000169	Chlor_AMIV_KF938901.1_00102	Decap_MF599468.1_00141
OG0000170	Chlor_AMIV_KF938901.1_00103	Decap_MF599468.1_00162
OG0000171	Chlor_AMIV_KF938901.1_00117	Decap_MF599468.1_00004
OG0000172	Chlor_AMIV_KF938901.1_00121	Decap_MF599468.1_00105
OG0000173	Chlor_AMIV_KF938901.1_00128	Decap_MF599468.1_00067
OG0000174	Chlor_AMIV_KF938901.1_00150	Decap_MF599468.1_00155
OG0000186	Chlor_AMIV_KF938901.1_00014	Decap_MF599468.1_00037
OG0000188	Chlor_AMIV_KF938901.1_00070	Decap_MF599468.1_00172
OG0000189	Chlor_AMIV_KF938901.1_00073	Decap_MF599468.1_00052, Decap_MF599468.1_00061
OG0000191	Chlor_AMIV_KF938901.1_00079	Decap_MF599468.1_00065
OG0000193	Chlor_AMIV_KF938901.1_00100	Decap_MF599468.1_00025
OG0000195	Chlor_AMIV_KF938901.1_00116	Decap_MF599468.1_00129
OG0000196	Chlor_AMIV_KF938901.1_00133	Decap_MF599468.1_00022
OG0000197	Chlor_AMIV_KF938901.1_00134	Decap_MF599468.1_00015
OG0000200	Chlor_AMIV_KF938901.1_00141	Decap_MF599468.1_00079
OG0000201	Chlor_AMIV_KF938901.1_00146	Decap_MF599468.1_00044
OG0000202	Chlor_AMIV_KF938901.1_00148	Decap_MF599468.1_00125
OG0000203	Chlor_AMIV_KF938901.1_00152	Decap_MF599468.1_00043
