Orthogroup	MT926123	NC_005946
OG0000000	AF371960.1_00031 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	AF371960.1_00008 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	AF371960.1_00113 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	AF371960.1_00021 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	AF371960.1_00032 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	AF371960.1_00057 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	AF371960.1_00064 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	AF371960.1_00088 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	AF371960.1_00092 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	AF371960.1_00107 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	AF371960.1_00121 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	AF371960.1_00122 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	AF371960.1_00034 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000019	AF371960.1_00078 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	AF371960.1_00089 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	AF371960.1_00096 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	AF371960.1_00112 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000024	AF371960.1_00045 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000026	AF371960.1_00090 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000027	AF371960.1_00110 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000028	AF371960.1_00048 hypothetical protein	NC_005946.1_00085 hypothetical protein
