Orthogroup	MN562489.1	MK098187.1
OG0000000	MN562489.1_00102	MK098187.1_00033
OG0000001	MN562489.1_00081	MK098187.1_00008
OG0000002	MN562489.1_00080	MK098187.1_00007
OG0000003	MN562489.1_00087	MK098187.1_00015
OG0000004	MN562489.1_00060	MK098187.1_00112
OG0000005	MN562489.1_00056	MK098187.1_00095
OG0000006	MN562489.1_00116	MK098187.1_00076
OG0000007	MN562489.1_00052	MK098187.1_00090
OG0000008	MN562489.1_00099	MK098187.1_00032
OG0000009	MN562489.1_00059	MK098187.1_00114
OG0000010	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131	MK098187.1_00077
OG0000011	MN562489.1_00128	MK098187.1_00064
OG0000012	MN562489.1_00096	MK098187.1_00022
OG0000013	MN562489.1_00038	MK098187.1_00058
OG0000014	MN562489.1_00058	MK098187.1_00122
OG0000015	MN562489.1_00133	MK098187.1_00123
OG0000016	MN562489.1_00047	MK098187.1_00087
OG0000017	MN562489.1_00011	MK098187.1_00036
OG0000018	MN562489.1_00063	MK098187.1_00107
OG0000019	MN562489.1_00046	MK098187.1_00086
OG0000020	MN562489.1_00012	MK098187.1_00034
OG0000021	MN562489.1_00124	MK098187.1_00005
OG0000022	MN562489.1_00008	MK098187.1_00038
OG0000023	MN562489.1_00023	MK098187.1_00047
OG0000024	MN562489.1_00073	MK098187.1_00029
OG0000025	MN562489.1_00113	MK098187.1_00065
OG0000026	MN562489.1_00062	MK098187.1_00110
OG0000027	MN562489.1_00049	MK098187.1_00088
OG0000028	MN562489.1_00026	MK098187.1_00050
OG0000029	MN562489.1_00041	MK098187.1_00062
OG0000030	MN562489.1_00107	MK098187.1_00001
OG0000031	MN562489.1_00126	MK098187.1_00006
OG0000032	MN562489.1_00118	MK098187.1_00081
OG0000033	MN562489.1_00050	MK098187.1_00089
OG0000034	MN562489.1_00109	MK098187.1_00124
OG0000035	MN562489.1_00086	MK098187.1_00013
OG0000036	MN562489.1_00132	MK098187.1_00014
OG0000037	MN562489.1_00091	MK098187.1_00019
OG0000038	MN562489.1_00092	MK098187.1_00020
OG0000039	MN562489.1_00097	MK098187.1_00023
OG0000040	MN562489.1_00089	MK098187.1_00024
OG0000041	MN562489.1_00134	MK098187.1_00035
OG0000042	MN562489.1_00013	MK098187.1_00039
OG0000043	MN562489.1_00030	MK098187.1_00051
OG0000044	MN562489.1_00031	MK098187.1_00052
OG0000045	MN562489.1_00036	MK098187.1_00056
OG0000046	MN562489.1_00037	MK098187.1_00057
OG0000047	MN562489.1_00039	MK098187.1_00059
OG0000048	MN562489.1_00051	MK098187.1_00060
OG0000049	MN562489.1_00040	MK098187.1_00061
OG0000050	MN562489.1_00117	MK098187.1_00078
OG0000051	MN562489.1_00119	MK098187.1_00082
OG0000052	MN562489.1_00005	MK098187.1_00083
OG0000053	MN562489.1_00055	MK098187.1_00094
OG0000054	MN562489.1_00105	MK098187.1_00096
OG0000055	MN562489.1_00104	MK098187.1_00099
OG0000056	MN562489.1_00061	MK098187.1_00111
OG0000057	MN562489.1_00057	MK098187.1_00116
OG0000058	MN562489.1_00001	MK098187.1_00118
OG0000059	MN562489.1_00106	MK098187.1_00002
OG0000060	MN562489.1_00083	MK098187.1_00010
OG0000061	MN562489.1_00090	MK098187.1_00018
OG0000062	MN562489.1_00053	MK098187.1_00091
OG0000096	MN562489.1_00045	MK098187.1_00120
OG0000114	MN562489.1_00095	MK098187.1_00021
OG0000115	MN562489.1_00084	MK098187.1_00011
OG0000118	MN562489.1_00054	MK098187.1_00092
