Orthogroup	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000186						GQ273492.1_00010 hypothetical protein																																																						
OG0000187						GQ273492.1_00115 hypothetical protein																																																						
OG0000188								AF371960.1_00028 hypothetical protein																																																				
OG0000189										MG570131.1_00022 hypothetical protein																																																		
OG0000190																				AF371960.1_00028 hypothetical protein																																								
OG0000191																							AF371960.1_00028 hypothetical protein																																					
OG0000192																										AF371960.1_00028 hypothetical protein																																		
OG0000193																												AF371960.1_00028 hypothetical protein																																
OG0000194																														DNA-binding protein_refgen DNA-binding protein																														
OG0000195																															AF371960.1_00117 hypothetical protein																													
OG0000196																																		AF371960.1_00028 hypothetical protein																										
OG0000197																																					AF371960.1_00059 hypothetical protein																							
OG0000198																																							AF371960.1_00028 hypothetical protein																					
OG0000199																																														OM037668.1_00059 hypothetical protein														
OG0000200																																																AF371960.1_00028 hypothetical protein												
OG0000201																																																				AF371960.1_00028 hypothetical protein								
OG0000202																																																					OQ475017.1_00025 OQ475017.1 - hypothetical protein translation							
OG0000203																																																					OQ475017.1_00028 OQ475017.1 - hypothetical protein translation							
OG0000204																																																					OQ475017.1_00089 OQ475017.1 - hypothetical protein translation							
OG0000205																																																					OQ475017.1_00090 OQ475017.1 - hypothetical protein translation							
OG0000206																																																							AF371960.1_00028 hypothetical protein					
OG0000207																																																												PQ335173_PQ335174_00017 PQ335173_PQ335174 - hypothetical protein translation
OG0000208																																																												PQ335173_PQ335174_00038 PQ335173_PQ335174 - hypothetical protein translation
OG0000209																																																												PQ335173_PQ335174_00100 PQ335173_PQ335174 - hypothetical protein translation
OG0000210																																																												PQ335173_PQ335174_00104 PQ335173_PQ335174 - hypothetical protein translation
OG0000211																																																												PQ335173_PQ335174_00113 PQ335173_PQ335174 - hypothetical protein translation
