Orthogroup	MF599468.1	NC_027778.1
OG0000000	MF599468.1_00057, MF599468.1_00056	NC_027778.1_00083
OG0000001	MF599468.1_00163	NC_027778.1_00062
OG0000002	MF599468.1_00152	NC_027778.1_00061
OG0000003	MF599468.1_00011	NC_027778.1_00068
OG0000004	MF599468.1_00092	NC_027778.1_00040
OG0000005	MF599468.1_00154	NC_027778.1_00036
OG0000006	MF599468.1_00010	NC_027778.1_00098
OG0000007	MF599468.1_00174	NC_027778.1_00032
OG0000008	MF599468.1_00030	NC_027778.1_00080
OG0000009	MF599468.1_00075	NC_027778.1_00039
OG0000011	MF599468.1_00149	NC_027778.1_00111
OG0000012	MF599468.1_00112	NC_027778.1_00077
OG0000013	MF599468.1_00033	NC_027778.1_00018
OG0000014	MF599468.1_00122	NC_027778.1_00038
OG0000015	MF599468.1_00009	NC_027778.1_00116
OG0000016	MF599468.1_00046	NC_027778.1_00027
OG0000017	MF599468.1_00035	NC_027778.1_00132
OG0000018	MF599468.1_00117	NC_027778.1_00043
OG0000019	MF599468.1_00106	NC_027778.1_00026
OG0000020	MF599468.1_00090	NC_027778.1_00133
OG0000021	MF599468.1_00116	NC_027778.1_00106
OG0000022	MF599468.1_00071	NC_027778.1_00129
OG0000023	MF599468.1_00171	NC_027778.1_00003
OG0000026	MF599468.1_00039	NC_027778.1_00042
OG0000047	MF599468.1_00013	NC_027778.1_00019
OG0000173	MF599468.1_00098	NC_027778.1_00096
