Orthogroup	MT926123.1	NC_005946.1
OG0000000	MT926123.1_00032	NC_005946.1_00010
OG0000001	MT926123.1_00007	NC_005946.1_00091
OG0000003	MT926123.1_00008	NC_005946.1_00053
OG0000004	MT926123.1_00015	NC_005946.1_00057
OG0000005	MT926123.1_00031	NC_005946.1_00095
OG0000006	MT926123.1_00079	NC_005946.1_00042
OG0000007	MT926123.1_00093	NC_005946.1_00002
OG0000008	MT926123.1_00112	NC_005946.1_00028
OG0000009	MT926123.1_00113	NC_005946.1_00092
OG0000010	MT926123.1_00005	NC_005946.1_00038
OG0000011	MT926123.1_00022	NC_005946.1_00060
OG0000012	MT926123.1_00033	NC_005946.1_00083
OG0000013	MT926123.1_00035	NC_005946.1_00087
OG0000014	MT926123.1_00037	NC_005946.1_00061
OG0000015	MT926123.1_00058	NC_005946.1_00022
OG0000016	MT926123.1_00065	NC_005946.1_00011
OG0000017	MT926123.1_00089	NC_005946.1_00094
OG0000018	MT926123.1_00090	NC_005946.1_00082
OG0000019	MT926123.1_00107	NC_005946.1_00023
OG0000020	MT926123.1_00120	NC_005946.1_00016
OG0000021	MT926123.1_00121	NC_005946.1_00021
OG0000022	MT926123.1_00046	NC_005946.1_00089
OG0000023	MT926123.1_00096	NC_005946.1_00014
OG0000024	MT926123.1_00110	NC_005946.1_00086
OG0000026	MT926123.1_00091	NC_005946.1_00049
OG0000027	MT926123.1_00049	NC_005946.1_00085
