Orthogroup	AF303741.1	MK689686.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MK689686.1_00029
OG0000001	AF303741.1_00200, AF303741.1_00047	MK689686.1_00008
OG0000002	AF303741.1_00125	MK689686.1_00007
OG0000003	AF303741.1_00035	MK689686.1_00014
OG0000004	AF303741.1_00080	MK689686.1_00110
OG0000005	AF303741.1_00129	MK689686.1_00093
OG0000006	AF303741.1_00132	MK689686.1_00074
OG0000007	AF303741.1_00149	MK689686.1_00088
OG0000008	AF303741.1_00165	MK689686.1_00028
OG0000009	AF303741.1_00176	MK689686.1_00112
OG0000011	AF303741.1_00006	MK689686.1_00062
OG0000012	AF303741.1_00011	MK689686.1_00021
OG0000013	AF303741.1_00023	MK689686.1_00056
OG0000014	AF303741.1_00026	MK689686.1_00120
OG0000015	AF303741.1_00046	MK689686.1_00121
OG0000016	AF303741.1_00062	MK689686.1_00085
OG0000017	AF303741.1_00063	MK689686.1_00032
OG0000018	AF303741.1_00081	MK689686.1_00105
OG0000019	AF303741.1_00137	MK689686.1_00084
OG0000020	AF303741.1_00156	MK689686.1_00030
OG0000021	AF303741.1_00158	MK689686.1_00005
OG0000022	AF303741.1_00189	MK689686.1_00034
OG0000023	AF303741.1_00154	MK689686.1_00043
OG0000024	AF303741.1_00168	MK689686.1_00025
OG0000025	AF303741.1_00051	MK689686.1_00063
