Orthogroup	GQ273492	KF938901
OG0000000	GQ273492.1_00030 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	GQ273492.1_00008 hypothetical protein	KF938901.1_00080 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	KF938901.1_00005 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	KF938901.1_00067 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	KF938901.1_00114 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	KF938901.1_00124 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	KF938901.1_00044 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	KF938901.1_00054 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	KF938901.1_00047 hypothetical protein
OG0000009	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	KF938901.1_00123 hypothetical protein
OG0000010	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000011	GQ273492.1_00056 hypothetical protein	KF938901.1_00060 hypothetical protein
OG0000012	GQ273492.1_00063 hypothetical protein	KF938901.1_00092 hypothetical protein
OG0000013	GQ273492.1_00083 hypothetical protein	KF938901.1_00012 hypothetical protein
OG0000014	GQ273492.1_00087 hypothetical protein	KF938901.1_00053 hypothetical protein
OG0000015	GQ273492.1_00103 hypothetical protein	KF938901.1_00025 hypothetical protein
OG0000016	GQ273492.1_00118 hypothetical protein	KF938901.1_00074 hypothetical protein
OG0000017	GQ273492.1_00119 hypothetical protein	KF938901.1_00095 hypothetical protein
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00073 hypothetical protein	KF938901.1_00072 hypothetical protein
OG0000020	GQ273492.1_00084 hypothetical protein	KF938901.1_00046 hypothetical protein
OG0000021	GQ273492.1_00092 hypothetical protein	KF938901.1_00125 hypothetical protein
OG0000022	GQ273492.1_00108 hypothetical protein	KF938901.1_00043 hypothetical protein
OG0000025	GQ273492.1_00064 hypothetical protein	KF938901.1_00093 hypothetical protein
