Orthogroup	LS484712	NC_005946
OG0000000	LS484712.1_00114 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	LS484712.1_00095 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	LS484712.1_00187 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	LS484712.1_00096 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	LS484712.1_00142 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	LS484712.1_00200 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	LS484712.1_00188 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	LS484712.1_00240 hypothetical protein	NC_005946.1_00087 hypothetical protein
OG0000010	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000011	LS484712.1_00143 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000012	LS484712.1_00203 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000013	LS484712.1_00192 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000014	LS484712.1_00050 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000015	LS484712.1_00053 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000016	LS484712.1_00202 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000017	LS484712.1_00135 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000018	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000019	LS484712.1_00040 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000023	LS484712.1_00117 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000132	LS484712.1_00057 hypothetical protein	NC_005946.1_00001 hypothetical protein
OG0000134	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit
OG0000140	LS484712.1_00133 hypothetical protein	NC_005946.1_00054 hypothetical protein
