Orthogroup	OK042108.1	HF920637.1
OG0000000	OK042108.1_00047	HF920637.1_00129, HF920637.1_00164
OG0000001	OK042108.1_00068	HF920637.1_00059
OG0000002	OK042108.1_00069	HF920637.1_00143
OG0000003	OK042108.1_00062	HF920637.1_00159
OG0000004	OK042108.1_00087	HF920637.1_00025
OG0000005	OK042108.1_00104	HF920637.1_00221
OG0000006	OK042108.1_00001	HF920637.1_00121
OG0000007	OK042108.1_00109	HF920637.1_00172
OG0000008	OK042108.1_00048	HF920637.1_00176, HF920637.1_00175
OG0000009	OK042108.1_00085	HF920637.1_00153
OG0000011	OK042108.1_00013	HF920637.1_00217
OG0000012	OK042108.1_00055	HF920637.1_00001
OG0000013	OK042108.1_00020	HF920637.1_00017
OG0000014	OK042108.1_00077	HF920637.1_00108
OG0000015	OK042108.1_00076	HF920637.1_00152
OG0000016	OK042108.1_00112	HF920637.1_00079
OG0000017	OK042108.1_00044	HF920637.1_00073
OG0000018	OK042108.1_00092	HF920637.1_00111
OG0000019	OK042108.1_00113	HF920637.1_00197
OG0000020	OK042108.1_00046	HF920637.1_00031
OG0000021	OK042108.1_00070	HF920637.1_00041
OG0000022	OK042108.1_00042	HF920637.1_00213
OG0000023	OK042108.1_00033	HF920637.1_00033
OG0000024	OK042108.1_00050	HF920637.1_00061
OG0000025	OK042108.1_00012	HF920637.1_00156
