Orthogroup	MCV_ML1_SDDV_MN562489.1	Irido_IIV31_HF920637.1
OG0000000	MCV_ML1_SDDV_MN562489.1_00102	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	MCV_ML1_SDDV_MN562489.1_00080	Irido_IIV31_HF920637.1_00143
OG0000002	MCV_ML1_SDDV_MN562489.1_00081	Irido_IIV31_HF920637.1_00059
OG0000003	MCV_ML1_SDDV_MN562489.1_00087	Irido_IIV31_HF920637.1_00159
OG0000004	MCV_ML1_SDDV_MN562489.1_00060	Irido_IIV31_HF920637.1_00025
OG0000005	MCV_ML1_SDDV_MN562489.1_00052	Irido_IIV31_HF920637.1_00172
OG0000006	MCV_ML1_SDDV_MN562489.1_00099	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	MCV_ML1_SDDV_MN562489.1_00116	Irido_IIV31_HF920637.1_00121
OG0000008	MCV_ML1_SDDV_MN562489.1_00059	Irido_IIV31_HF920637.1_00153
OG0000009	MCV_ML1_SDDV_MN562489.1_00056	Irido_IIV31_HF920637.1_00221
OG0000011	MCV_ML1_SDDV_MN562489.1_00046	Irido_IIV31_HF920637.1_00197
OG0000012	MCV_ML1_SDDV_MN562489.1_00008	Irido_IIV31_HF920637.1_00213
OG0000013	MCV_ML1_SDDV_MN562489.1_00063	Irido_IIV31_HF920637.1_00111
OG0000014	MCV_ML1_SDDV_MN562489.1_00047	Irido_IIV31_HF920637.1_00079
OG0000015	MCV_ML1_SDDV_MN562489.1_00012	Irido_IIV31_HF920637.1_00031
OG0000016	MCV_ML1_SDDV_MN562489.1_00096	Irido_IIV31_HF920637.1_00001
OG0000017	MCV_ML1_SDDV_MN562489.1_00038	Irido_IIV31_HF920637.1_00017
OG0000018	MCV_ML1_SDDV_MN562489.1_00058	Irido_IIV31_HF920637.1_00108
OG0000019	MCV_ML1_SDDV_MN562489.1_00128	Irido_IIV31_HF920637.1_00217
OG0000020	MCV_ML1_SDDV_MN562489.1_00133	Irido_IIV31_HF920637.1_00152
OG0000021	MCV_ML1_SDDV_MN562489.1_00011	Irido_IIV31_HF920637.1_00073
OG0000022	MCV_ML1_SDDV_MN562489.1_00124	Irido_IIV31_HF920637.1_00041
OG0000023	MCV_ML1_SDDV_MN562489.1_00023	Irido_IIV31_HF920637.1_00033
OG0000024	MCV_ML1_SDDV_MN562489.1_00073	Irido_IIV31_HF920637.1_00061
OG0000025	MCV_ML1_SDDV_MN562489.1_00113	Irido_IIV31_HF920637.1_00156
OG0000030	MCV_ML1_SDDV_MN562489.1_00126	Irido_IIV31_HF920637.1_00127
OG0000139	MCV_ML1_SDDV_MN562489.1_00069	Irido_IIV31_HF920637.1_00123
OG0000179	MCV_ML1_SDDV_MN562489.1_00115	Irido_IIV31_HF920637.1_00013
