Orthogroup	MF599468.1	AY894343.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AY894343.1_00029
OG0000001	MF599468.1_00163	AY894343.1_00008
OG0000002	MF599468.1_00152	AY894343.1_00007
OG0000003	MF599468.1_00011	AY894343.1_00015
OG0000004	MF599468.1_00092	AY894343.1_00113
OG0000005	MF599468.1_00154	AY894343.1_00096
OG0000006	MF599468.1_00010	AY894343.1_00076
OG0000007	MF599468.1_00174	AY894343.1_00090
OG0000008	MF599468.1_00030	AY894343.1_00028
OG0000009	MF599468.1_00075	AY894343.1_00115
OG0000011	MF599468.1_00149	AY894343.1_00063
OG0000012	MF599468.1_00112	AY894343.1_00021
OG0000013	MF599468.1_00033	AY894343.1_00056
OG0000014	MF599468.1_00122	AY894343.1_00123
OG0000015	MF599468.1_00009	AY894343.1_00124
OG0000016	MF599468.1_00046	AY894343.1_00087
OG0000017	MF599468.1_00035	AY894343.1_00032
OG0000018	MF599468.1_00117	AY894343.1_00108
OG0000019	MF599468.1_00106	AY894343.1_00086
OG0000020	MF599468.1_00090	AY894343.1_00030
OG0000021	MF599468.1_00116	AY894343.1_00005
OG0000022	MF599468.1_00071	AY894343.1_00034
OG0000023	MF599468.1_00171	AY894343.1_00043
OG0000026	MF599468.1_00039	AY894343.1_00111
OG0000047	MF599468.1_00013	AY894343.1_00057
OG0000069	MF599468.1_00131	AY894343.1_00099
