Orthogroup	KC244182.1	AF303741.1
OG0000000	KC244182.1_00029	AF303741.1_00079, AF303741.1_00152
OG0000001	KC244182.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	KC244182.1_00007	AF303741.1_00125
OG0000003	KC244182.1_00014	AF303741.1_00035
OG0000004	KC244182.1_00112	AF303741.1_00080
OG0000005	KC244182.1_00095	AF303741.1_00129
OG0000006	KC244182.1_00076	AF303741.1_00132
OG0000007	KC244182.1_00090	AF303741.1_00149
OG0000008	KC244182.1_00028	AF303741.1_00165
OG0000009	KC244182.1_00114	AF303741.1_00176
OG0000011	KC244182.1_00063	AF303741.1_00006
OG0000012	KC244182.1_00022	AF303741.1_00011
OG0000013	KC244182.1_00056	AF303741.1_00023
OG0000014	KC244182.1_00121	AF303741.1_00026
OG0000015	KC244182.1_00122	AF303741.1_00046
OG0000016	KC244182.1_00087	AF303741.1_00062
OG0000017	KC244182.1_00032	AF303741.1_00063
OG0000018	KC244182.1_00107	AF303741.1_00081
OG0000019	KC244182.1_00086	AF303741.1_00137
OG0000020	KC244182.1_00030	AF303741.1_00156
OG0000021	KC244182.1_00005	AF303741.1_00158
OG0000022	KC244182.1_00034	AF303741.1_00189
OG0000023	KC244182.1_00043	AF303741.1_00154
OG0000024	KC244182.1_00025	AF303741.1_00168
OG0000025	KC244182.1_00064	AF303741.1_00051
