Orthogroup	L63545.1	AY532606.1
OG0000000	L63545.1_00007	AY532606.1_00030
OG0000001	L63545.1_00035	AY532606.1_00007
OG0000002	L63545.1_00079	AY532606.1_00006
OG0000003	L63545.1_00076	AY532606.1_00014
OG0000004	L63545.1_00001	AY532606.1_00116, AY532606.1_00117
OG0000005	L63545.1_00056	AY532606.1_00099, AY532606.1_00098
OG0000006	L63545.1_00093	AY532606.1_00078
OG0000007	L63545.1_00090	AY532606.1_00093
OG0000008	L63545.1_00108	AY532606.1_00029
OG0000009	L63545.1_00024	AY532606.1_00120, AY532606.1_00119
OG0000011	L63545.1_00069	AY532606.1_00064
OG0000012	L63545.1_00071	AY532606.1_00020
OG0000013	L63545.1_00004	AY532606.1_00057
OG0000014	L63545.1_00030	AY532606.1_00125
OG0000015	L63545.1_00110	AY532606.1_00126
OG0000016	L63545.1_00073	AY532606.1_00089
OG0000017	L63545.1_00072	AY532606.1_00033
OG0000018	L63545.1_00068	AY532606.1_00111
OG0000019	L63545.1_00009	AY532606.1_00088
OG0000020	L63545.1_00098	AY532606.1_00031
OG0000021	L63545.1_00043	AY532606.1_00004
OG0000022	L63545.1_00013	AY532606.1_00035
OG0000024	L63545.1_00015	AY532606.1_00026
OG0000026	L63545.1_00002	AY532606.1_00114
OG0000027	L63545.1_00058	AY532606.1_00090
OG0000028	L63545.1_00003	AY532606.1_00047
