Orthogroup	NC_005946.1	AY532606.1
OG0000000	NC_005946.1_00010	AY532606.1_00030
OG0000001	NC_005946.1_00091	AY532606.1_00006
OG0000003	NC_005946.1_00053	AY532606.1_00007
OG0000004	NC_005946.1_00057	AY532606.1_00014
OG0000005	NC_005946.1_00095	AY532606.1_00029
OG0000006	NC_005946.1_00042	AY532606.1_00078
OG0000007	NC_005946.1_00002	AY532606.1_00093
OG0000008	NC_005946.1_00028	AY532606.1_00116, AY532606.1_00117
OG0000009	NC_005946.1_00092	AY532606.1_00120, AY532606.1_00119
OG0000010	NC_005946.1_00038	AY532606.1_00004
OG0000011	NC_005946.1_00060	AY532606.1_00020
OG0000012	NC_005946.1_00083	AY532606.1_00031
OG0000013	NC_005946.1_00087	AY532606.1_00033
OG0000014	NC_005946.1_00061	AY532606.1_00035
OG0000015	NC_005946.1_00022	AY532606.1_00057
OG0000016	NC_005946.1_00011	AY532606.1_00064
OG0000017	NC_005946.1_00094	AY532606.1_00088
OG0000018	NC_005946.1_00082	AY532606.1_00089
OG0000019	NC_005946.1_00023	AY532606.1_00111
OG0000020	NC_005946.1_00016	AY532606.1_00125
OG0000021	NC_005946.1_00021	AY532606.1_00126
OG0000023	NC_005946.1_00014	AY532606.1_00099, AY532606.1_00098
OG0000024	NC_005946.1_00086	AY532606.1_00114
OG0000026	NC_005946.1_00049	AY532606.1_00090
OG0000027	NC_005946.1_00085	AY532606.1_00047
OG0000112	NC_005946.1_00006	AY532606.1_00082
