Orthogroup	MN803438.1	OL774653.1
OG0000000	MN803438.1_00124	OL774653.1_00051
OG0000001	MN803438.1_00023	OL774653.1_00025
OG0000003	MN803438.1_00101, MN803438.1_00056	OL774653.1_00026
OG0000004	MN803438.1_00113	OL774653.1_00032
OG0000005	MN803438.1_00106	OL774653.1_00050
OG0000006	MN803438.1_00142	OL774653.1_00094
OG0000007	MN803438.1_00027	OL774653.1_00108
OG0000008	MN803438.1_00104	OL774653.1_00006
OG0000009	MN803438.1_00109	OL774653.1_00008
OG0000010	MN803438.1_00089	OL774653.1_00023
OG0000011	MN803438.1_00128	OL774653.1_00039
OG0000012	MN803438.1_00068	OL774653.1_00052
OG0000013	MN803438.1_00035	OL774653.1_00054
OG0000014	MN803438.1_00013	OL774653.1_00056
OG0000015	MN803438.1_00007	OL774653.1_00076
OG0000016	MN803438.1_00049	OL774653.1_00082
OG0000017	MN803438.1_00097	OL774653.1_00104
OG0000018	MN803438.1_00122	OL774653.1_00105
OG0000019	MN803438.1_00051	OL774653.1_00001
OG0000020	MN803438.1_00070	OL774653.1_00016
OG0000021	MN803438.1_00046	OL774653.1_00017
OG0000022	MN803438.1_00077	OL774653.1_00065
OG0000023	MN803438.1_00071	OL774653.1_00114
OG0000024	MN803438.1_00126	OL774653.1_00004
OG0000026	MN803438.1_00037	OL774653.1_00106
OG0000027	MN803438.1_00054	OL774653.1_00068
OG0000028	MN803438.1_00145	OL774653.1_00024
