Orthogroup	Irido_IIV31_HF920637.1	Decap_MF599468.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Irido_IIV31_HF920637.1_00143	Decap_MF599468.1_00152
OG0000002	Irido_IIV31_HF920637.1_00059	Decap_MF599468.1_00163
OG0000003	Irido_IIV31_HF920637.1_00159	Decap_MF599468.1_00011
OG0000004	Irido_IIV31_HF920637.1_00025	Decap_MF599468.1_00092
OG0000005	Irido_IIV31_HF920637.1_00172	Decap_MF599468.1_00174
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Decap_MF599468.1_00030
OG0000007	Irido_IIV31_HF920637.1_00121	Decap_MF599468.1_00010
OG0000008	Irido_IIV31_HF920637.1_00153	Decap_MF599468.1_00075
OG0000009	Irido_IIV31_HF920637.1_00221	Decap_MF599468.1_00154
OG0000011	Irido_IIV31_HF920637.1_00197	Decap_MF599468.1_00106
OG0000012	Irido_IIV31_HF920637.1_00213	Decap_MF599468.1_00071
OG0000013	Irido_IIV31_HF920637.1_00111	Decap_MF599468.1_00117
OG0000014	Irido_IIV31_HF920637.1_00079	Decap_MF599468.1_00046
OG0000015	Irido_IIV31_HF920637.1_00031	Decap_MF599468.1_00090
OG0000016	Irido_IIV31_HF920637.1_00001	Decap_MF599468.1_00112
OG0000017	Irido_IIV31_HF920637.1_00017	Decap_MF599468.1_00033
OG0000018	Irido_IIV31_HF920637.1_00108	Decap_MF599468.1_00122
OG0000019	Irido_IIV31_HF920637.1_00217	Decap_MF599468.1_00149
OG0000020	Irido_IIV31_HF920637.1_00152	Decap_MF599468.1_00009
OG0000021	Irido_IIV31_HF920637.1_00073	Decap_MF599468.1_00035
OG0000022	Irido_IIV31_HF920637.1_00041	Decap_MF599468.1_00116
OG0000023	Irido_IIV31_HF920637.1_00033	Decap_MF599468.1_00171
OG0000113	Irido_IIV31_HF920637.1_00138	Decap_MF599468.1_00096
OG0000113	Irido_IIV31_HF920637.1_00148	Decap_MF599468.1_00045
OG0000113	Irido_IIV31_HF920637.1_00077	Decap_MF599468.1_00036
OG0000122	Irido_IIV31_HF920637.1_00183	Decap_MF599468.1_00024, Decap_MF599468.1_00104, Decap_MF599468.1_00101, Decap_MF599468.1_00023, Decap_MF599468.1_00038, Decap_MF599468.1_00070, Decap_MF599468.1_00145, Decap_MF599468.1_00054, Decap_MF599468.1_00055, Decap_MF599468.1_00091, Decap_MF599468.1_00128, Decap_MF599468.1_00103, Decap_MF599468.1_00029, Decap_MF599468.1_00099, Decap_MF599468.1_00100, Decap_MF599468.1_00114, Decap_MF599468.1_00102
OG0000133	Irido_IIV31_HF920637.1_00014	Decap_MF599468.1_00027
OG0000134	Irido_IIV31_HF920637.1_00219	Decap_MF599468.1_00002
OG0000138	Irido_IIV31_HF920637.1_00181	Decap_MF599468.1_00051
OG0000148	Irido_IIV31_HF920637.1_00060	Decap_MF599468.1_00161
OG0000154	Irido_IIV31_HF920637.1_00168	Decap_MF599468.1_00074
OG0000156	Irido_IIV31_HF920637.1_00150	Decap_MF599468.1_00142
OG0000160	Irido_IIV31_HF920637.1_00072	Decap_MF599468.1_00156, Decap_MF599468.1_00066
OG0000169	Irido_IIV31_HF920637.1_00056	Decap_MF599468.1_00141
OG0000170	Irido_IIV31_HF920637.1_00049	Decap_MF599468.1_00162
OG0000171	Irido_IIV31_HF920637.1_00095	Decap_MF599468.1_00004
OG0000172	Irido_IIV31_HF920637.1_00045	Decap_MF599468.1_00105
OG0000173	Irido_IIV31_HF920637.1_00120	Decap_MF599468.1_00067
OG0000174	Irido_IIV31_HF920637.1_00067	Decap_MF599468.1_00155
OG0000186	Irido_IIV31_HF920637.1_00212	Decap_MF599468.1_00037
OG0000188	Irido_IIV31_HF920637.1_00160	Decap_MF599468.1_00172
OG0000191	Irido_IIV31_HF920637.1_00194	Decap_MF599468.1_00065
OG0000193	Irido_IIV31_HF920637.1_00047	Decap_MF599468.1_00025
OG0000195	Irido_IIV31_HF920637.1_00020	Decap_MF599468.1_00129
OG0000196	Irido_IIV31_HF920637.1_00139	Decap_MF599468.1_00022
OG0000197	Irido_IIV31_HF920637.1_00193	Decap_MF599468.1_00015
OG0000200	Irido_IIV31_HF920637.1_00100	Decap_MF599468.1_00079
OG0000201	Irido_IIV31_HF920637.1_00192	Decap_MF599468.1_00044
OG0000202	Irido_IIV31_HF920637.1_00005	Decap_MF599468.1_00125
OG0000203	Irido_IIV31_HF920637.1_00085	Decap_MF599468.1_00043
OG0000206	Irido_IIV31_HF920637.1_00133, Irido_IIV31_HF920637.1_00142, Irido_IIV31_HF920637.1_00136	Decap_MF599468.1_00016
OG0000295	Irido_IIV31_HF920637.1_00090	Decap_MF599468.1_00072
OG0000296	Irido_IIV31_HF920637.1_00064	Decap_MF599468.1_00107
