Orthogroup	MT926123.1	AY521625.1
OG0000000	MT926123.1_00032	AY521625.1_00091
OG0000001	MT926123.1_00008	AY521625.1_00077
OG0000002	MT926123.1_00007	AY521625.1_00064
OG0000003	MT926123.1_00015	AY521625.1_00130
OG0000004	MT926123.1_00112	AY521625.1_00069, AY521625.1_00070
OG0000005	MT926123.1_00096	AY521625.1_00100
OG0000006	MT926123.1_00079	AY521625.1_00051
OG0000007	MT926123.1_00093	AY521625.1_00016
OG0000008	MT926123.1_00031	AY521625.1_00085
OG0000009	MT926123.1_00113	AY521625.1_00142
OG0000011	MT926123.1_00065	AY521625.1_00053
OG0000012	MT926123.1_00022	AY521625.1_00110
OG0000013	MT926123.1_00058	AY521625.1_00048
OG0000014	MT926123.1_00120	AY521625.1_00115
OG0000015	MT926123.1_00121	AY521625.1_00035
OG0000016	MT926123.1_00090	AY521625.1_00073
OG0000017	MT926123.1_00035	AY521625.1_00059
OG0000018	MT926123.1_00107	AY521625.1_00047
OG0000019	MT926123.1_00089	AY521625.1_00086
OG0000020	MT926123.1_00033	AY521625.1_00074
OG0000021	MT926123.1_00005	AY521625.1_00054
OG0000022	MT926123.1_00037	AY521625.1_00065
OG0000023	MT926123.1_00046	AY521625.1_00062
OG0000024	MT926123.1_00028	AY521625.1_00042
OG0000026	MT926123.1_00110	AY521625.1_00060
OG0000027	MT926123.1_00091	AY521625.1_00022
OG0000030	MT926123.1_00001	AY521625.1_00004
