Orthogroup	AY521625.1	OM037668.1
OG0000000	AY521625.1_00091	OM037668.1_00035
OG0000001	AY521625.1_00077	OM037668.1_00056
OG0000002	AY521625.1_00064	OM037668.1_00057
OG0000003	AY521625.1_00130	OM037668.1_00050
OG0000004	AY521625.1_00069, AY521625.1_00070	OM037668.1_00076
OG0000005	AY521625.1_00100	OM037668.1_00080
OG0000006	AY521625.1_00051	OM037668.1_00021
OG0000007	AY521625.1_00016	OM037668.1_00084
OG0000008	AY521625.1_00085	OM037668.1_00038
OG0000009	AY521625.1_00142	OM037668.1_00077
OG0000011	AY521625.1_00053	OM037668.1_00009
OG0000012	AY521625.1_00110	OM037668.1_00041
OG0000013	AY521625.1_00048	OM037668.1_00098
OG0000014	AY521625.1_00115	OM037668.1_00078
OG0000015	AY521625.1_00035	OM037668.1_00004
OG0000016	AY521625.1_00073	OM037668.1_00089
OG0000017	AY521625.1_00059	OM037668.1_00124
OG0000018	AY521625.1_00047	OM037668.1_00073
OG0000019	AY521625.1_00086	OM037668.1_00090
OG0000020	AY521625.1_00074	OM037668.1_00123
OG0000021	AY521625.1_00054	OM037668.1_00013
OG0000022	AY521625.1_00065	OM037668.1_00127
OG0000023	AY521625.1_00062	OM037668.1_00113
OG0000024	AY521625.1_00042	OM037668.1_00064
OG0000026	AY521625.1_00060	OM037668.1_00074
OG0000027	AY521625.1_00022	OM037668.1_00087
OG0000030	AY521625.1_00004	OM037668.1_00030
OG0000141	AY521625.1_00046	OM037668.1_00126, OM037668.1_00067
OG0000151	AY521625.1_00002	OM037668.1_00001
