Orthogroup	L63545.1	OL310752.1
OG0000000	L63545.1_00007	OL310752.1_00108, OL310752.1_00113
OG0000001	L63545.1_00035	OL310752.1_00018
OG0000002	L63545.1_00079	OL310752.1_00019
OG0000003	L63545.1_00076	OL310752.1_00012
OG0000004	L63545.1_00001	OL310752.1_00060
OG0000005	L63545.1_00056	OL310752.1_00036
OG0000006	L63545.1_00093	OL310752.1_00078
OG0000007	L63545.1_00090	OL310752.1_00042
OG0000008	L63545.1_00108	OL310752.1_00107
OG0000009	L63545.1_00024	OL310752.1_00116
OG0000011	L63545.1_00069	OL310752.1_00027
OG0000012	L63545.1_00071	OL310752.1_00004
OG0000013	L63545.1_00004	OL310752.1_00096
OG0000014	L63545.1_00030	OL310752.1_00071
OG0000015	L63545.1_00110	OL310752.1_00072
OG0000016	L63545.1_00073	OL310752.1_00045
OG0000017	L63545.1_00072	OL310752.1_00085
OG0000018	L63545.1_00068	OL310752.1_00065
OG0000019	L63545.1_00009	OL310752.1_00046
OG0000020	L63545.1_00098	OL310752.1_00114
OG0000021	L63545.1_00043	OL310752.1_00021
OG0000022	L63545.1_00013	OL310752.1_00083
OG0000023	L63545.1_00054	OL310752.1_00052
OG0000024	L63545.1_00015	OL310752.1_00104
OG0000026	L63545.1_00002	OL310752.1_00062
OG0000027	L63545.1_00058	OL310752.1_00044
OG0000028	L63545.1_00003	OL310752.1_00087
