Orthogroup	BD143114.1	LS484712.1
OG0000000	BD143114.1_00045	LS484712.1_00114
OG0000001	BD143114.1_00068	LS484712.1_00142
OG0000003	BD143114.1_00067	LS484712.1_00095
OG0000004	BD143114.1_00060	LS484712.1_00187
OG0000005	BD143114.1_00046	LS484712.1_00248
OG0000006	BD143114.1_00001	LS484712.1_00040
OG0000007	BD143114.1_00109	LS484712.1_00234, LS484712.1_00050
OG0000009	BD143114.1_00085	LS484712.1_00130
OG0000010	BD143114.1_00070	LS484712.1_00096
OG0000011	BD143114.1_00053	LS484712.1_00200
OG0000012	BD143114.1_00044	LS484712.1_00188
OG0000013	BD143114.1_00042	LS484712.1_00240
OG0000014	BD143114.1_00040	LS484712.1_00194
OG0000015	BD143114.1_00019	LS484712.1_00143
OG0000016	BD143114.1_00013	LS484712.1_00203
OG0000017	BD143114.1_00114	LS484712.1_00192
OG0000018	BD143114.1_00113	LS484712.1_00048
OG0000019	BD143114.1_00092	LS484712.1_00053
OG0000020	BD143114.1_00077	LS484712.1_00202
OG0000021	BD143114.1_00076	LS484712.1_00135
OG0000022	BD143114.1_00031	LS484712.1_00117
OG0000068	BD143114.1_00009	LS484712.1_00002
