	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
Number of genes	120	119	121	203	121	121	141	116	121	115	179	220	118	157	122	120	152	278	174	118	119	120	121	120	122	120	118	133	144	119	119	132	116	122	120	119	120	121	121	118	120	121	120	120	122	120	120	120	120	121	122	97	121	122	117	119	119	134	120	121	120	117	121	121	121	118	121	117	120	120	118	103
Number of genes in orthogroups	120	118	121	164	121	121	95	116	121	114	152	173	118	133	121	120	139	120	108	117	119	120	121	120	122	120	118	133	132	119	118	132	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	71	121	122	117	119	119	133	120	120	120	117	121	120	117	118	120	117	120	120	118	98
Number of unassigned genes	0	1	0	39	0	0	46	0	0	1	27	47	0	24	1	0	13	158	66	1	0	0	0	0	0	0	0	0	12	0	1	0	0	1	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	26	0	0	0	0	0	1	0	1	0	0	0	1	4	0	1	0	0	0	0	5
Percentage of genes in orthogroups	100.0	99.2	100.0	80.8	100.0	100.0	67.4	100.0	100.0	99.1	84.9	78.6	100.0	84.7	99.2	100.0	91.4	43.2	62.1	99.2	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	91.7	100.0	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	99.2	99.2	100.0	100.0	99.2	100.0	100.0	99.2	100.0	99.2	100.0	73.2	100.0	100.0	100.0	100.0	100.0	99.3	100.0	99.2	100.0	100.0	100.0	99.2	96.7	100.0	99.2	100.0	100.0	100.0	100.0	95.1
Percentage of unassigned genes	0.0	0.8	0.0	19.2	0.0	0.0	32.6	0.0	0.0	0.9	15.1	21.4	0.0	15.3	0.8	0.0	8.6	56.8	37.9	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	0.0	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	0.8	0.8	0.0	0.0	0.8	0.0	0.0	0.8	0.0	0.8	0.0	26.8	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.8	0.0	0.0	0.0	0.8	3.3	0.0	0.8	0.0	0.0	0.0	0.0	4.9
Number of orthogroups containing species	119	118	121	144	121	121	77	116	121	114	132	140	118	118	121	120	122	67	70	117	119	120	121	120	122	120	118	125	120	119	118	125	116	121	120	119	119	121	120	118	119	120	120	120	121	120	120	119	120	120	122	70	121	121	117	119	119	125	120	120	120	117	121	120	117	118	120	117	120	120	118	96
Percentage of orthogroups containing species	25.2	24.9	25.6	30.4	25.6	25.6	16.3	24.5	25.6	24.1	27.9	29.6	24.9	24.9	25.6	25.4	25.8	14.2	14.8	24.7	25.2	25.4	25.6	25.4	25.8	25.4	24.9	26.4	25.4	25.2	24.9	26.4	24.5	25.6	25.4	25.2	25.2	25.6	25.4	24.9	25.2	25.4	25.4	25.4	25.6	25.4	25.4	25.2	25.4	25.4	25.8	14.8	25.6	25.6	24.7	25.2	25.2	26.4	25.4	25.4	25.4	24.7	25.6	25.4	24.7	24.9	25.4	24.7	25.4	25.4	24.9	20.3
Number of species-specific orthogroups	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	18	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Number of genes in species-specific orthogroups	0	0	0	0	0	0	23	0	0	0	0	8	0	0	0	0	0	71	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.0	0.0	0.0	16.3	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.0	25.5	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9
